episode,success,fell,timed_out,return,steps,max_riser,completion_fraction,minimum_cbf_h,intervention_count,intervention_per_riser,correction_mean,correction_max,would_intervene_count,would_intervene_per_riser,counterfactual_correction_mean,counterfactual_correction_max,mean_abs_centerline_error,max_abs_centerline_error,max_abs_heading_error,minimum_root_edge_clearance,minimum_foot_edge_clearance,operator_correction_fraction,side_edge_breach
0,False,True,False,-1.3447761535644531,325,6,0.6666666666666666,-0.13134706020355225,0,0.0,6.085683423862065e-08,2.440847026718984e-07,11,1.8333333730697632,0.00617987709119916,0.4550791084766388,0.5410394668579102,1.4434478282928467,1.6529663801193237,-0.24344778060913086,-0.20351111888885498,1.0,True
1,False,True,False,-1.4273717403411865,351,7,0.7777777777777778,-0.14102357625961304,0,0.0,5.973914340984265e-08,2.799735909775336e-07,15,2.142857313156128,0.006101391743868589,0.37418946623802185,0.5078482031822205,1.451233983039856,1.800872564315796,-0.25123393535614014,-0.17621445655822754,0.9914529919624329,True
2,False,True,False,-1.5702800750732422,356,5,0.5555555555555556,-0.08574999868869781,0,0.0,5.941924285934874e-08,3.6412689041753765e-07,18,3.6000001430511475,0.004162771161645651,0.20395126938819885,0.3293590247631073,1.1567018032073975,2.095457077026367,0.04329824447631836,-0.28519511222839355,1.0,True
3,False,True,False,0.05538463592529297,383,6,0.6666666666666666,-0.1095285564661026,0,0.0,5.938062841437386e-08,2.4800473852337745e-07,14,2.3333334922790527,0.003274792106822133,0.2227945625782013,0.24362194538116455,0.6563299894332886,1.4918639659881592,0.5436700582504272,0.30790239572525024,0.9973890781402588,False
4,True,False,False,9.224750518798828,434,9,1.0,-0.14936280250549316,0,0.0,6.153565124122906e-08,2.3760227918501187e-07,2,0.2222222238779068,0.00029783096397295594,0.11815929412841797,0.2601776421070099,0.7943177223205566,1.5843969583511353,0.4056823253631592,0.33669018745422363,1.0,False
5,False,True,False,1.4586882591247559,440,6,0.6666666666666666,-0.09362828731536865,0,0.0,5.5677642052387455e-08,2.606638531688077e-07,24,4.0,0.0054709226824343204,0.3841748535633087,0.5227961540222168,1.4174704551696777,1.8329579830169678,-0.21747040748596191,-0.22895896434783936,0.9999999403953552,True
6,False,True,False,0.10883760452270508,441,9,1.0,-0.14375340938568115,0,0.0,5.683788728561012e-08,2.4587620828242507e-07,21,2.3333332538604736,0.007921276614069939,0.5318407416343689,0.4997331202030182,1.43155038356781,1.7466065883636475,-0.23155033588409424,-0.17161810398101807,0.9909297227859497,True
7,False,True,False,-1.4550626277923584,444,9,1.0,-0.14284998178482056,0,0.0,5.988841422777114e-08,2.5734854602887935e-07,1,0.1111111119389534,2.2323698431137018e-05,0.009885167703032494,0.5905294418334961,1.425368070602417,1.6390286684036255,-0.22536802291870117,-0.21063339710235596,0.9909909963607788,True
8,True,False,False,9.12801456451416,446,9,1.0,-0.13610708713531494,0,0.0,6.377700145776544e-08,2.616204426431068e-07,0,0.0,6.377700145776544e-08,2.616204426431068e-07,0.12707708775997162,0.2363765835762024,1.011975884437561,0.9636234641075134,0.8138102293014526,0.9977579116821289,False
9,True,False,False,8.414886474609375,447,9,1.0,-0.1471995711326599,0,0.0,6.402775198921518e-08,2.7668903612720896e-07,0,0.0,6.402775198921518e-08,2.7668903612720896e-07,0.03623636066913605,0.07526839524507523,0.7411586046218872,1.1247316598892212,0.971423327922821,0.9082773923873901,False
10,True,False,False,9.220114707946777,447,9,1.0,-0.13714921474456787,0,0.0,6.038381883399779e-08,2.4620757699267415e-07,2,0.2222222238779068,0.00023170937492977828,0.0795171707868576,0.44384223222732544,0.7808745503425598,1.3818920850753784,0.419125497341156,0.2832363247871399,0.9977628588676453,False
11,True,False,False,8.692253112792969,450,9,1.0,-0.11535811424255371,0,0.0,6.285365827807254e-08,2.5023305738614e-07,1,0.1111111119389534,2.4085629775072448e-05,0.01081026904284954,0.04553685709834099,0.11084479838609695,0.7990205883979797,1.0891551971435547,0.9748297929763794,0.995555579662323,False
12,True,False,False,9.137367248535156,453,9,1.0,-0.10023641586303711,0,0.0,6.267276120297538e-08,2.555017033500917e-07,1,0.1111111119389534,3.6121506127528846e-05,0.016334716230630875,0.15489833056926727,0.4624177813529968,1.3035390377044678,0.737582266330719,0.6356089115142822,0.9801324605941772,False
13,True,False,False,7.9418487548828125,455,9,1.0,-0.05610227584838867,0,0.0,6.556081189046381e-08,2.731682116063894e-07,6,0.6666666865348816,0.0011254162527620792,0.16263580322265625,0.36219391226768494,0.9090903997421265,1.9653189182281494,0.29090964794158936,0.18841278553009033,0.9978022575378418,False
