episode,success,fell,timed_out,return,steps,max_riser,completion_fraction,minimum_cbf_h,intervention_count,intervention_per_riser,correction_mean,correction_max,would_intervene_count,would_intervene_per_riser,counterfactual_correction_mean,counterfactual_correction_max,mean_abs_centerline_error,max_abs_centerline_error,max_abs_heading_error,minimum_root_edge_clearance,minimum_foot_edge_clearance,operator_correction_fraction,side_edge_breach
0,False,True,False,-4.1164021492004395,220,2,0.2222222222222222,-0.09685134887695312,0,0.0,5.275326486753329e-08,1.838648699958867e-07,17,8.5,0.00933449063450098,0.4141720235347748,0.04765583574771881,0.19709482789039612,0.9054305553436279,1.002905249595642,0.9070312976837158,0.9909090399742126,False
1,False,True,False,-1.9320592880249023,326,6,0.6666666666666666,-0.09511564671993256,0,0.0,5.691387272577231e-08,2.494554109944147e-07,16,2.6666667461395264,0.016493506729602814,0.7839238047599792,0.46586641669273376,1.3969101905822754,1.7135939598083496,-0.19691014289855957,-0.22303760051727295,0.9907975196838379,True
2,False,True,False,-1.0339305400848389,344,7,0.7777777777777778,-0.1441338062286377,0,0.0,6.258608209464e-08,2.2512591613121913e-07,4,0.5714285969734192,0.0009253477910533547,0.11690647155046463,0.05720340833067894,0.1700417846441269,1.152411699295044,1.0299582481384277,0.8150688409805298,0.9854651093482971,False
3,False,True,False,-0.1391606330871582,380,5,0.5555555555555556,-0.11549019813537598,0,0.0,5.745863163042486e-08,2.5466957254138833e-07,27,5.400000095367432,0.006483473349362612,0.3546391725540161,0.4203698933124542,1.4945333003997803,2.2087771892547607,-0.29453325271606445,-0.13689076900482178,1.0,True
4,False,True,False,-0.6975510120391846,387,6,0.6666666666666666,-0.09711301326751709,0,0.0,5.583910933637526e-08,2.4811663479340496e-07,26,4.333333492279053,0.01034401636570692,0.3952485918998718,0.4617464542388916,1.4591319561004639,1.7840231657028198,-0.25913190841674805,-0.33468008041381836,1.0,True
5,True,False,False,8.445168495178223,436,9,1.0,-0.12885871529579163,0,0.0,6.348395942268326e-08,2.6915424200524285e-07,2,0.2222222238779068,0.00013221654808148742,0.04680658504366875,0.051198843866586685,0.1467466801404953,0.6455516815185547,1.053253412246704,0.9170354008674622,0.919724702835083,False
6,True,False,False,8.76254653930664,439,9,1.0,-0.07672113180160522,0,0.0,6.423158538382268e-08,2.537576335726044e-07,0,0.0,6.423158538382268e-08,2.537576335726044e-07,0.06260371208190918,0.22594085335731506,1.1455771923065186,0.9740592241287231,0.8727454543113708,0.9931663274765015,False
7,True,False,False,9.17226505279541,441,9,1.0,-0.08862757682800293,0,0.0,6.2592718563792e-08,2.6966574750986183e-07,0,0.0,6.2592718563792e-08,2.6966574750986183e-07,0.09875577688217163,0.1683884710073471,0.9909248352050781,1.0316115617752075,0.8706424236297607,0.9909297227859497,False
8,True,False,False,8.332672119140625,443,9,1.0,-0.13856053352355957,0,0.0,6.176959033155072e-08,2.6863449420488905e-07,1,0.1111111119389534,3.0054905437282287e-05,0.013287026435136795,0.29620784521102905,0.45116961002349854,1.0655436515808105,0.7488304376602173,0.574631929397583,0.9864559769630432,False
9,True,False,False,9.407537460327148,450,9,1.0,-0.10930490493774414,0,0.0,6.055770995772036e-08,2.7647578804135264e-07,2,0.2222222238779068,0.0008412534953095019,0.3698752522468567,0.224660262465477,0.38730400800704956,1.0513906478881836,0.8126960396766663,0.684657096862793,1.0,False
10,True,False,False,9.161069869995117,457,9,1.0,-0.14107871055603027,0,0.0,6.430269650081755e-08,2.5331974029541016e-07,2,0.2222222238779068,0.0007242886931635439,0.29662343859672546,0.31914275884628296,0.7178040146827698,1.4183999300003052,0.48219603300094604,0.35194164514541626,1.0,False
11,True,False,False,9.291532516479492,458,9,1.0,-0.12578022480010986,0,0.0,5.863554619622846e-08,2.682209014892578e-07,2,0.2222222238779068,0.0006867540651001036,0.23903927206993103,0.06553050130605698,0.21953235566616058,1.170172929763794,0.980467677116394,0.8466707468032837,0.9781659841537476,False
12,True,False,False,9.37767219543457,461,9,1.0,-0.12201035022735596,0,0.0,6.0317319139358e-08,2.1087413415443734e-07,2,0.2222222238779068,0.00033125546178780496,0.0838593989610672,0.3498504161834717,0.5358848571777344,1.2178388833999634,0.6641151905059814,0.5172531604766846,1.0,False
13,True,False,False,9.58698844909668,462,9,1.0,-0.14214551448822021,0,0.0,6.181326028809053e-08,2.6863449420488905e-07,3,0.3333333432674408,0.0003878232091665268,0.11567480862140656,0.18424195051193237,0.3627181649208069,0.9070005416870117,0.8372818827629089,0.6970531344413757,1.0,False
14,True,False,False,9.364896774291992,467,9,1.0,-0.10478806495666504,0,0.0,6.194152746274995e-08,2.684277831122017e-07,2,0.2222222238779068,0.0001078177010640502,0.048685792833566666,0.10673230141401291,0.30652445554733276,1.057325839996338,0.8934755921363831,0.7489451169967651,0.9678800702095032,False
15,True,False,False,9.92809772491455,469,9,1.0,-0.08884310722351074,0,0.0,6.074709801850986e-08,2.739861884037964e-07,2,0.2222222238779068,0.00017909392772708088,0.05925275385379791,0.2037663757801056,0.37613019347190857,1.222374439239502,0.8238698244094849,0.703137218952179,0.9978678226470947,False
16,True,False,False,9.658885955810547,471,9,1.0,-0.1499919891357422,0,0.0,6.179622857871436e-08,2.5955009164135845e-07,0,0.0,6.179622857871436e-08,2.5955009164135845e-07,0.0384925901889801,0.09970708936452866,0.8142801523208618,1.1002929210662842,0.9571011066436768,0.9384289383888245,False
17,True,False,False,9.687082290649414,478,9,1.0,-0.14533519744873047,0,0.0,6.28071106234529e-08,2.4211522031691857e-07,2,0.2222222238779068,0.0002394838520558551,0.0750211700797081,0.2251102775335312,0.4292721152305603,1.0878605842590332,0.7707279324531555,0.6260045170783997,0.9895397424697876,False
18,True,False,False,9.28963565826416,478,9,1.0,-0.1396762728691101,0,0.0,6.405874586334903e-08,2.7151207859787974e-07,2,0.2222222238779068,0.0002871823962777853,0.11860896646976471,0.09216086566448212,0.20151673257350922,1.0211905241012573,0.9984833002090454,0.886712908744812,0.9979079365730286,False
19,True,False,False,9.825724601745605,479,9,1.0,-0.1282140016555786,0,0.0,6.19373281551816e-08,2.5023305738614e-07,1,0.1111111119389534,0.00010013443534262478,0.047934774309396744,0.1762493997812271,0.36305510997772217,1.1567559242248535,0.8369449377059937,0.724335789680481,0.9979123473167419,False
20,True,False,False,9.615480422973633,479,9,1.0,-0.1436520218849182,0,0.0,6.101612370912335e-08,2.598210642190679e-07,5,0.5555555820465088,0.0007916181348264217,0.19269146025180817,0.2914499044418335,0.7287085056304932,1.4242335557937622,0.47129154205322266,0.3143858313560486,0.993736982345581,False
21,True,False,False,9.566306114196777,485,9,1.0,-0.12668126821517944,0,0.0,6.33147081430252e-08,2.7023122584068915e-07,2,0.2222222238779068,0.00010645519068930298,0.02631361223757267,0.18920587003231049,0.4047929048538208,0.5696867108345032,0.795207142829895,0.6546558737754822,0.9278351068496704,False
22,True,False,False,9.278013229370117,487,9,1.0,-0.037664175033569336,0,0.0,6.324504653321128e-08,2.6884751491706993e-07,1,0.1111111119389534,8.755689486861229e-05,0.04260943457484245,0.22967103123664856,0.7066535949707031,1.6134929656982422,0.4933464527130127,0.39848291873931885,1.0,False
23,True,False,False,9.15798568725586,489,9,1.0,-0.10987841337919235,0,0.0,6.321261736275119e-08,2.7446063199931814e-07,3,0.3333333432674408,0.000172280560946092,0.039180587977170944,0.43665432929992676,0.7936376929283142,1.4579843282699585,0.4063623547554016,0.2865489721298218,0.9918200373649597,False
24,True,False,False,10.538488388061523,491,9,1.0,-0.14796221256256104,0,0.0,6.125596030415181e-08,2.6915705575447646e-07,5,0.5555555820465088,0.00016068531840573996,0.04090607538819313,0.1663999706506729,0.42973411083221436,1.2388360500335693,0.7702659368515015,0.6471521258354187,0.9959267377853394,False
25,True,False,False,9.771942138671875,493,9,1.0,-0.100058913230896,0,0.0,5.85116275431119e-08,2.430305983125436e-07,3,0.3333333432674408,0.001225877902470529,0.4337709844112396,0.5184837579727173,0.9413055777549744,1.5443463325500488,0.25869446992874146,0.12122714519500732,1.0,False
26,True,False,False,9.669307708740234,498,9,1.0,-0.13493812084197998,0,0.0,6.267784158353606e-08,2.4038948254201387e-07,2,0.2222222238779068,0.00023959482496138662,0.09650085121393204,0.10164376348257065,0.2130301296710968,0.7913386225700378,0.9869699478149414,0.9005643129348755,0.9939758777618408,False
27,True,False,False,10.121049880981445,498,9,1.0,-0.022058047354221344,0,0.0,5.969250338466736e-08,2.535387864099903e-07,6,0.6666666865348816,0.0006599223706871271,0.14717908203601837,0.08464152365922928,0.23086370527744293,1.2688372135162354,0.9691363573074341,0.8718690276145935,0.9919678568840027,False
28,True,False,False,9.690513610839844,501,9,1.0,-0.13836205005645752,0,0.0,6.299203647586182e-08,2.5463114639023843e-07,2,0.2222222238779068,0.0002451794862281531,0.09524115920066833,0.37470269203186035,0.882612407207489,1.9545001983642578,0.3173876404762268,0.2425439953804016,0.9960079789161682,False
