episode,success,fell,timed_out,return,steps,max_riser,completion_fraction,minimum_cbf_h,intervention_count,intervention_per_riser,correction_mean,correction_max,would_intervene_count,would_intervene_per_riser,counterfactual_correction_mean,counterfactual_correction_max,mean_abs_centerline_error,max_abs_centerline_error,max_abs_heading_error,minimum_root_edge_clearance,minimum_foot_edge_clearance,operator_correction_fraction,side_edge_breach
0,False,True,False,-1.3483555316925049,259,3,0.3333333333333333,0.011360704898834229,0,0.0,5.216321241618971e-08,2.4800473852337745e-07,6,2.0,0.0026111926417797804,0.19834503531455994,0.5017515420913696,1.4094759225845337,2.286775588989258,-0.20947587490081787,-0.12823116779327393,0.10038609802722931,True
1,False,True,False,-0.5699412822723389,320,5,0.5555555555555556,-0.046196162700653076,0,0.0,5.5257977749079146e-08,2.6822129939318984e-07,7,1.399999976158142,0.0020415482576936483,0.17877407371997833,0.4827955365180969,1.3880822658538818,2.791895627975464,-0.18808221817016602,-0.11591792106628418,0.03125,True
2,False,True,False,-1.2991743087768555,321,5,0.5555555555555556,-0.01996004581451416,0,0.0,5.996383123374471e-08,2.150412541368496e-07,8,1.600000023841858,0.0021211346611380577,0.23092098534107208,0.47180259227752686,1.6315019130706787,1.851071834564209,-0.4315018653869629,-0.3399019241333008,0.08722741156816483,True
3,False,True,False,-2.3365681171417236,345,7,0.7777777777777778,-0.09216593205928802,0,0.0,6.457955947780647e-08,2.6664466190595704e-07,5,0.7142857313156128,0.0007653032662346959,0.10427597165107727,0.33266481757164,1.4111735820770264,2.1963613033294678,-0.21117353439331055,-0.16980242729187012,0.06376811861991882,True
4,False,True,False,-1.5171856880187988,352,7,0.7777777777777778,-0.13492022454738617,0,0.0,6.007367403526587e-08,2.482843797224632e-07,12,1.7142858505249023,0.004114820156246424,0.4134749472141266,0.5389586091041565,1.4086272716522217,1.578717827796936,-0.20862722396850586,-0.17560231685638428,0.07954545319080353,True
5,False,True,False,-2.743075370788574,369,7,0.7777777777777778,-0.09410086274147034,0,0.0,6.206830249766426e-08,2.6863449420488905e-07,7,1.0,0.002077104989439249,0.29807037115097046,0.5774227976799011,1.7591732740402222,2.277785301208496,-0.5591732263565063,-0.455666184425354,0.05962059646844864,True
6,False,True,False,-1.3227529525756836,377,7,0.7777777777777778,-0.14656895399093628,0,0.0,5.9471418012435606e-08,2.529908158521721e-07,16,2.2857143878936768,0.002435061614960432,0.12685272097587585,0.49829789996147156,1.4027043581008911,2.0439839363098145,-0.2027043104171753,-0.11843979358673096,0.02652519941329956,True
7,False,True,False,-1.7934820652008057,384,7,0.7777777777777778,-0.07424196600914001,0,0.0,6.24942799731798e-08,2.6863449420488905e-07,16,2.2857143878936768,0.008932294324040413,0.5190207362174988,0.3656712472438812,1.4202014207839966,1.7361407279968262,-0.22020137310028076,-0.19016551971435547,0.0755208358168602,True
8,False,True,False,-1.197392463684082,385,7,0.7777777777777778,-0.14925017952919006,0,0.0,5.752180598506129e-08,2.2317567527352367e-07,9,1.2857143878936768,0.0031005102209746838,0.4053967297077179,0.4229106605052948,1.4381355047225952,1.8933650255203247,-0.2381354570388794,-0.15771496295928955,0.07532467693090439,True
9,False,True,False,-1.3076813220977783,408,9,1.0,-0.14829814434051514,0,0.0,6.330639479301681e-08,3.6317283047537785e-07,5,0.5555555820465088,0.0011872649192810059,0.18116126954555511,0.5751441717147827,1.4569814205169678,1.5992987155914307,-0.25698137283325195,-0.21864759922027588,0.07107843458652496,True
