episode,success,fell,timed_out,return,steps,max_riser,completion_fraction,minimum_cbf_h,intervention_count,intervention_per_riser,correction_mean,correction_max,would_intervene_count,would_intervene_per_riser,counterfactual_correction_mean,counterfactual_correction_max,mean_abs_centerline_error,max_abs_centerline_error,max_abs_heading_error,minimum_root_edge_clearance,minimum_foot_edge_clearance,operator_correction_fraction,side_edge_breach
0,False,True,False,-1.9853360652923584,227,4,0.4444444444444444,-0.14070242643356323,0,0.0,5.829866722706356e-08,1.7124183671057835e-07,6,1.5,0.00396768981590867,0.6699032783508301,0.15914660692214966,0.26049941778182983,1.3322341442108154,0.939500629901886,0.5569993257522583,0.0,False
1,False,True,False,-3.236617088317871,293,5,0.5555555555555556,-0.13702870905399323,0,0.0,6.042164812924966e-08,2.480327339071664e-07,15,3.0,0.008141408674418926,0.44211798906326294,0.465083509683609,1.5459264516830444,1.823839545249939,-0.3459264039993286,-0.24379634857177734,0.03412969037890434,True
2,False,True,False,-2.427232265472412,317,6,0.6666666666666666,-0.14161629974842072,0,0.0,6.347508474391361e-08,2.4677061105649045e-07,8,1.3333333730697632,0.004624284338206053,0.4740363359451294,0.5176633596420288,1.5534225702285767,2.092686653137207,-0.35342252254486084,-0.30869412422180176,0.0,True
3,False,True,False,-1.4492626190185547,319,6,0.6666666666666666,-0.039191946387290955,0,0.0,6.047493883443167e-08,3.424836734211567e-07,10,1.6666667461395264,0.005586062557995319,0.42965584993362427,0.5541149377822876,1.4522318840026855,1.515869379043579,-0.2522318363189697,-0.2144690752029419,0.0815047025680542,True
4,False,True,False,-1.6535675525665283,328,5,0.5555555555555556,-0.14966878294944763,0,0.0,5.974055028445946e-08,2.67703001100017e-07,11,2.200000047683716,0.0016294659581035376,0.15283434092998505,0.5281738638877869,1.5820496082305908,2.0774168968200684,-0.382049560546875,-0.29294729232788086,0.0,True
5,False,True,False,-0.9699428081512451,348,5,0.5555555555555556,-0.1331213116645813,0,0.0,5.937700819913516e-08,2.4578449142609315e-07,13,2.6000001430511475,0.0036535728722810745,0.270580530166626,0.45568251609802246,1.4885414838790894,1.8639068603515625,-0.28854143619537354,-0.24517285823822021,0.06896551698446274,True
6,False,True,False,-0.379779577255249,357,5,0.5555555555555556,-0.13455520570278168,0,0.0,6.307388389359403e-08,2.741823834639945e-07,10,2.0,0.0020943800918757915,0.25800320506095886,0.39076322317123413,1.4984211921691895,3.108464002609253,-0.29842114448547363,-0.2621210813522339,0.08403361588716507,True
7,False,True,False,-3.4556970596313477,378,8,0.8888888888888888,-0.14236772060394287,0,0.0,5.988476914353669e-08,2.7499112320583663e-07,12,1.5,0.009115511551499367,0.6478130221366882,0.5147406458854675,1.5120863914489746,1.9956179857254028,-0.3120863437652588,-0.3091238737106323,0.07407407462596893,True
8,False,True,False,-1.660813331604004,379,7,0.7777777777777778,-0.11419743299484253,0,0.0,5.990791152044039e-08,2.4978896817628993e-07,12,1.7142858505249023,0.0039416649378836155,0.3859647512435913,0.5483255982398987,1.5192188024520874,1.8759899139404297,-0.3192187547683716,-0.24841415882110596,0.07387863099575043,True
9,False,True,False,0.7502679824829102,380,6,0.6666666666666666,-0.0985950231552124,0,0.0,6.105965866254337e-08,2.432874168789567e-07,10,1.6666667461395264,0.0028610024601221085,0.30842962861061096,0.4572241008281708,1.3840941190719604,2.096149444580078,-0.18409407138824463,-0.10370194911956787,0.044736843556165695,True
