episode,success,fell,timed_out,return,steps,episode_time_s,max_riser,completion_fraction,minimum_cbf_h,intervention_count,intervention_per_riser,correction_mean,correction_max,correction_p95,would_intervene_count,would_intervene_per_riser,counterfactual_correction_mean,counterfactual_correction_max,counterfactual_correction_p95,geometric_active_fraction,intervention_fraction,would_intervene_fraction,nominal_violation_fraction,filtered_violation_fraction,minimum_nominal_margin,minimum_filtered_margin,steps_by_riser,interventions_by_riser,would_interventions_by_riser,mean_abs_centerline_error,max_abs_centerline_error,max_abs_heading_error,minimum_root_edge_clearance,minimum_foot_edge_clearance,operator_correction_fraction,side_edge_breach
0,False,True,False,-6.435927391052246,233,4.66,7,0.6363636363636364,-0.14407753944396973,12,1.7142858505249023,0.009209433570504189,0.3579942584037781,0.00675564631819725,12,1.7142858505249023,0.009209433570504189,0.3579942584037781,0.00675564631819725,0.29613733291625977,0.05150214582681656,0.05150214582681656,0.05150214582681656,0.0,-13.785426139831543,-9.5367431640625e-07,"[72, 27, 19, 19, 22, 23, 19, 32, 0, 0, 0]","[0, 2, 0, 0, 0, 3, 0, 7, 0, 0, 0]","[0, 2, 0, 0, 0, 3, 0, 7, 0, 0, 0]",0.30808818340301514,1.3939204216003418,1.823235034942627,-0.19392037391662598,-0.09681689739227295,0.9871244430541992,True
1,False,True,False,-6.8056182861328125,248,4.96,11,1.0,-0.11806869506835938,14,1.2727272510528564,0.012298275716602802,0.672613799571991,0.0332355797290802,14,1.2727272510528564,0.012298275716602802,0.672613799571991,0.0332355797290802,0.29032257199287415,0.05645161122083664,0.05645161122083664,0.05645161122083664,0.0,-16.143199920654297,-2.6226043701171875e-06,"[81, 24, 18, 21, 19, 14, 15, 13, 13, 11, 12]","[2, 2, 1, 0, 2, 2, 0, 2, 0, 2, 1]","[2, 2, 1, 0, 2, 2, 0, 2, 0, 2, 1]",0.12220215797424316,0.25784406065940857,1.0550782680511475,0.9421559572219849,0.721826434135437,0.9879031777381897,False
2,False,True,False,-7.8330979347229,273,5.46,11,1.0,-0.14312541484832764,15,1.3636363744735718,0.01042229775339365,0.5811404585838318,0.016643360257148743,15,1.3636363744735718,0.01042229775339365,0.5811404585838318,0.016643360257148743,0.27106228470802307,0.05494505539536476,0.05494505539536476,0.05494505539536476,0.0,-12.399038314819336,-7.152557373046875e-07,"[72, 27, 19, 19, 20, 19, 15, 14, 16, 18, 14]","[1, 1, 0, 2, 0, 0, 1, 3, 0, 4, 0]","[1, 1, 0, 2, 0, 0, 1, 3, 0, 4, 0]",0.2886185944080353,0.8067101836204529,1.3636553287506104,0.39328986406326294,0.34712010622024536,0.9816849827766418,False
3,False,True,False,-8.34735107421875,275,5.5,8,0.7272727272727273,-0.09221160411834717,41,5.125,0.027662470936775208,0.4922471344470978,0.21840201318264008,41,5.125,0.027662470936775208,0.4922471344470978,0.21840201318264008,0.38181817531585693,0.14909091591835022,0.14909091591835022,0.14909091591835022,0.0,-10.999526977539062,-1.6689300537109375e-06,"[86, 27, 28, 42, 25, 19, 16, 18, 14, 0, 0]","[4, 0, 0, 13, 13, 2, 0, 6, 3, 0, 0]","[4, 0, 0, 13, 13, 2, 0, 6, 3, 0, 0]",0.40098363161087036,1.4186393022537231,2.2536680698394775,-0.21863925457000732,-0.36501920223236084,0.996363639831543,True
4,False,True,False,-4.9819183349609375,275,5.5,9,0.8181818181818182,-0.1294492483139038,17,1.888888955116272,0.007815244607627392,0.44176343083381653,0.05997327342629433,17,1.888888955116272,0.007815244607627392,0.44176343083381653,0.05997327342629433,0.29818183183670044,0.06181818246841431,0.06181818246841431,0.06181818246841431,0.0,-8.883676528930664,-1.6689300537109375e-06,"[80, 24, 18, 20, 25, 20, 28, 23, 17, 20, 0]","[1, 2, 1, 0, 5, 1, 2, 1, 1, 3, 0]","[1, 2, 1, 0, 5, 1, 2, 1, 1, 3, 0]",0.09400390088558197,0.20297719538211823,1.2284739017486572,0.9970228672027588,0.881561279296875,0.9599999785423279,False
5,False,True,False,-5.56390905380249,283,5.66,10,0.9090909090909091,0.014715909957885742,13,1.3000000715255737,0.006801236886531115,0.5255141854286194,2.0967205216493312e-07,13,1.3000000715255737,0.006801236886531115,0.5255141854286194,2.0967205216493312e-07,0.25441697239875793,0.04593639448285103,0.04593639448285103,0.04593639448285103,0.0,-10.96976375579834,-1.9073486328125e-06,"[76, 30, 26, 20, 24, 18, 17, 21, 23, 15, 13]","[2, 0, 0, 2, 0, 3, 1, 0, 1, 0, 4]","[2, 0, 0, 2, 0, 3, 1, 0, 1, 0, 4]",0.25583183765411377,0.44937050342559814,1.070568323135376,0.7506295442581177,0.5209452509880066,0.982332170009613,False
6,False,True,False,-5.307679176330566,291,5.82,10,0.9090909090909091,-0.06837654113769531,11,1.100000023841858,0.004101403523236513,0.23597733676433563,2.407748525001807e-07,11,1.100000023841858,0.004101403523236513,0.23597733676433563,2.407748525001807e-07,0.2817869484424591,0.03780068829655647,0.03780068829655647,0.03780068829655647,0.0,-5.411542892456055,-7.152557373046875e-07,"[88, 27, 20, 18, 22, 18, 16, 20, 21, 26, 15]","[3, 0, 0, 2, 0, 1, 1, 0, 0, 4, 0]","[3, 0, 0, 2, 0, 1, 1, 0, 0, 4, 0]",0.044845301657915115,0.27239346504211426,1.051072359085083,0.9276065826416016,0.9298847317695618,0.9828178882598877,False
7,False,True,False,-5.875892162322998,300,6.0,8,0.7272727272727273,-0.11528308689594269,18,2.25,0.012885771691799164,0.8309311866760254,0.0526551753282547,18,2.25,0.012885771691799164,0.8309311866760254,0.0526551753282547,0.30666667222976685,0.06000000238418579,0.06000000238418579,0.06000000238418579,0.0,-18.26376724243164,-1.0728836059570312e-06,"[86, 27, 28, 33, 28, 22, 20, 25, 31, 0, 0]","[4, 2, 0, 1, 2, 0, 2, 0, 7, 0, 0]","[4, 2, 0, 1, 2, 0, 2, 0, 7, 0, 0]",0.489684522151947,1.4399065971374512,1.4609127044677734,-0.23990654945373535,-0.30234241485595703,1.0,True
8,False,True,False,-6.97684383392334,303,6.0600000000000005,7,0.6363636363636364,-0.14222514629364014,33,4.714285850524902,0.029288941994309425,1.0374224185943604,0.13987869024276733,33,4.714285850524902,0.029288941994309425,1.0374224185943604,0.13987869024276733,0.40264028310775757,0.10891089588403702,0.10891089588403702,0.10891089588403702,0.0,-12.621347427368164,-2.6226043701171875e-06,"[71, 24, 22, 37, 44, 61, 35, 9, 0, 0, 0]","[1, 2, 0, 0, 8, 8, 7, 7, 0, 0, 0]","[1, 2, 0, 0, 8, 8, 7, 7, 0, 0, 0]",0.4183061420917511,1.726823091506958,2.2875447273254395,-0.5268230438232422,-0.4983152151107788,0.9867987036705017,True
9,False,True,False,-7.395559787750244,305,6.1000000000000005,10,0.9090909090909091,-0.1480783224105835,23,2.299999952316284,0.021884601563215256,1.131142020225525,0.08183100819587708,23,2.299999952316284,0.021884601563215256,1.131142020225525,0.08183100819587708,0.31803280115127563,0.07540983706712723,0.07540983706712723,0.07540983706712723,0.0,-19.582456588745117,-2.86102294921875e-06,"[74, 26, 19, 23, 25, 23, 20, 20, 28, 23, 24]","[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 17]","[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 17]",0.510466456413269,1.6009998321533203,1.8891801834106445,-0.4009997844696045,-0.39585554599761963,1.0,True
