rank,candidate,omega,lambda_x,lambda_s,A1_mean_interference,A2_mean_on_success,mean_correction_jerk,mean_intervention_events_per_riser,mean_unsafe_overlap_steps_per_riser
1,w12_x00_s01,12.0,0.0,0.1,0.25390625,0.66015625,1928.6895857255613,2.0920784970729325,0.8182533364509649
2,w08_x08_s00,8.0,8.0,0.0,0.34765625,0.66015625,2223.7143842395703,2.1643440289382676,0.8690084735446792
3,w08_x00_s00,8.0,0.0,0.0,0.27734375,0.65625,1895.9532865987244,2.0681177065994483,0.8217497018154631
4,w08_x08_s01,8.0,8.0,0.1,0.36328125,0.65234375,2195.4391110461434,2.1553123001981014,0.9041062096324575
5,w12_x00_s00,12.0,0.0,0.0,0.30859375,0.6484375,2001.4583378998996,2.0975110101711425,0.8358473105028034
6,w12_x08_s00,12.0,8.0,0.0,0.33984375,0.6328125,2164.7510215823513,2.144762941027933,0.8053281007315078
7,w04_x00_s00,4.0,0.0,0.0,0.28125,0.6171875,1854.2569656135533,2.052109656394729,0.8381022110610984
8,w04_x08_s01,4.0,8.0,0.1,0.3359375,0.609375,2071.197363857937,2.1316920088729256,0.8170959540799954
9,w08_x00_s01,8.0,0.0,0.1,0.3359375,0.59375,1963.6496428188204,2.125519104681781,0.8266881367420742
10,w04_x08_s00,4.0,8.0,0.0,0.28515625,0.58984375,2110.964626949759,2.11580870361184,0.8257714396376769
11,w04_x00_s01,4.0,0.0,0.1,0.25,0.5703125,1882.6324719779786,2.0634877896117394,0.8342354727874892
12,w12_x08_s01,12.0,8.0,0.1,0.33984375,0.5703125,2264.083144482268,2.1941016611593906,0.8457704321126275
13,w04_x24_s01,4.0,24.0,0.1,0.36328125,0.5078125,2589.239030632765,2.2211230644802153,0.8578823853811195
14,w04_x24_s00,4.0,24.0,0.0,0.37890625,0.5,2728.4066753036695,2.2648390595374206,0.8877532091213919
15,w08_x24_s00,8.0,24.0,0.0,0.3828125,0.4921875,2806.9086646389164,2.2882736298213167,0.8459811592083928
16,w08_x24_s01,8.0,24.0,0.1,0.37109375,0.48046875,2738.350481179057,2.285681087811157,0.9314191508157201
17,w12_x24_s01,12.0,24.0,0.1,0.421875,0.46484375,2822.093533677601,2.2954281894317994,0.8582532180902351
18,w12_x24_s00,12.0,24.0,0.0,0.421875,0.46484375,2879.9488159629914,2.3389631438353597,0.8940478047353524
