environment_id,success,fell,steps,reached_risers
0,True,False,406,9
1,True,False,464,9
2,True,False,350,9
3,True,False,444,9
4,False,True,287,4
5,False,True,473,9
6,True,False,409,9
7,True,False,435,9
8,False,True,441,9
9,True,False,475,9
10,True,False,497,9
11,False,True,234,2
12,True,False,462,9
13,True,False,428,9
14,False,True,410,7
15,True,False,473,9
16,True,False,515,9
17,True,False,450,9
18,False,True,290,2
19,False,True,290,3
20,False,True,231,2
21,True,False,399,9
22,False,True,171,1
23,False,True,327,5
24,False,True,380,8
25,True,False,464,9
26,False,True,186,1
27,True,False,432,9
28,True,False,418,9
29,False,True,354,5
30,False,True,384,8
31,True,False,490,9
32,True,False,460,9
33,False,True,296,4
34,False,True,507,9
35,True,False,385,9
36,True,False,478,9
37,True,False,423,9
38,False,True,260,4
39,True,False,493,9
40,False,True,180,1
41,True,False,465,9
42,True,False,417,9
43,False,True,356,5
44,True,False,411,9
45,True,False,507,9
46,True,False,393,9
47,True,False,431,9
48,True,False,494,9
49,True,False,429,9
50,True,False,432,9
51,True,False,535,9
52,True,False,446,9
53,False,True,454,6
54,True,False,463,9
55,True,False,445,9
56,True,False,490,9
57,True,False,526,9
58,False,True,314,6
59,True,False,411,9
60,False,True,433,9
61,True,False,412,9
62,True,False,408,9
63,True,False,436,9
