environment_id,success,fell,steps,reached_risers
0,True,False,514,9
1,True,False,464,9
2,True,False,585,9
3,False,True,334,8
4,True,False,470,9
5,False,True,139,1
6,False,True,264,3
7,True,False,438,9
8,True,False,397,9
9,False,True,591,9
10,True,False,457,9
11,False,True,250,5
12,False,True,501,9
13,False,True,377,6
14,True,False,420,9
15,False,True,368,4
16,True,False,467,9
17,False,True,286,3
18,True,False,403,9
19,True,False,474,9
20,True,False,477,9
21,False,True,261,2
22,True,False,376,9
23,True,False,512,9
24,False,True,226,2
25,False,True,350,7
26,True,False,398,9
27,False,True,442,9
28,True,False,654,9
29,True,False,453,9
30,True,False,421,9
31,True,False,406,9
32,True,False,461,9
33,True,False,465,9
34,True,False,459,9
35,True,False,378,9
36,True,False,436,9
37,False,True,367,8
38,True,False,428,9
39,True,False,437,9
40,True,False,453,9
41,True,False,428,9
42,True,False,486,9
43,False,True,383,7
44,True,False,403,9
45,False,True,380,7
46,False,True,254,5
47,False,True,420,8
48,True,False,377,9
49,True,False,402,9
50,False,True,429,9
51,False,True,294,6
52,False,True,442,9
53,False,True,374,5
54,True,False,469,9
55,False,True,517,7
56,False,True,347,4
57,True,False,636,9
58,True,False,485,9
59,False,True,385,9
60,True,False,430,9
61,True,False,497,9
62,False,True,344,7
63,True,False,372,9
