environment_id,success,fell,steps,reached_risers
0,True,False,559,9
1,False,True,181,4
2,True,False,543,9
3,False,True,202,1
4,True,False,426,9
5,True,False,451,9
6,False,True,444,8
7,False,True,412,9
8,True,False,440,9
9,False,True,274,3
10,True,False,522,9
11,True,False,439,9
12,False,True,200,1
13,True,False,451,9
14,True,False,468,9
15,True,False,478,9
16,True,False,437,9
17,True,False,410,9
18,True,False,479,9
19,True,False,503,9
20,True,False,401,9
21,True,False,435,9
22,False,True,197,2
23,False,True,378,9
24,True,False,393,9
25,True,False,432,9
26,True,False,410,9
27,True,False,427,9
28,False,True,489,9
29,True,False,439,9
30,True,False,370,9
31,False,True,398,4
32,True,False,429,9
33,True,False,463,9
34,True,False,490,9
35,True,False,368,9
36,True,False,427,9
37,True,False,556,9
38,False,True,333,5
39,True,False,357,9
40,True,False,433,9
41,True,False,369,9
42,False,True,354,6
43,True,False,443,9
44,False,True,864,3
45,True,False,395,9
46,True,False,533,9
47,False,True,220,4
48,True,False,526,9
49,True,False,390,9
50,True,False,612,9
51,True,False,421,9
52,False,True,550,7
53,True,False,460,9
54,True,False,527,9
55,True,False,396,9
56,False,True,318,8
57,True,False,381,9
58,True,False,432,9
59,False,True,133,2
60,True,False,496,9
61,True,False,501,9
62,True,False,384,9
63,True,False,460,9
