environment_id,success,fell,steps,reached_risers
0,True,False,386,9
1,False,True,409,8
2,False,True,414,7
3,True,False,456,9
4,True,False,438,9
5,False,True,245,3
6,True,False,421,9
7,True,False,418,9
8,True,False,412,9
9,False,True,470,8
10,True,False,401,9
11,True,False,545,9
12,True,False,392,9
13,True,False,419,9
14,True,False,456,9
15,True,False,413,9
16,False,True,203,3
17,True,False,508,9
18,False,True,347,5
19,True,False,433,9
20,True,False,435,9
21,True,False,390,9
22,False,True,386,8
23,True,False,467,9
24,True,False,490,9
25,True,False,407,9
26,True,False,384,9
27,False,True,444,9
28,False,True,179,1
29,True,False,449,9
30,True,False,407,9
31,True,False,528,9
32,True,False,537,9
33,True,False,453,9
34,True,False,432,9
35,False,True,413,9
36,False,True,337,7
37,True,False,435,9
38,False,True,387,6
39,True,False,440,9
40,False,True,356,7
41,False,True,558,8
42,False,True,281,7
43,True,False,432,9
44,True,False,404,9
45,True,False,494,9
46,False,True,440,9
47,True,False,448,9
48,False,True,413,9
49,True,False,375,9
50,False,True,369,8
51,True,False,424,9
52,True,False,474,9
53,True,False,649,9
54,True,False,414,9
55,True,False,433,9
56,False,True,352,4
57,False,True,125,2
58,False,True,130,2
59,True,False,499,9
60,False,True,249,5
61,False,True,623,3
62,True,False,493,9
63,True,False,573,9
