comparison,context,a_only_success,b_only_success,b_minus_a_success_count,b_minus_a_percentage_points,exact_mcnemar_p
v138_off_to_v139_off,F1,74,87,13,2.53906250,0.34431351
v138_off_to_v139_off,F2,96,102,6,1.17187500,0.72243769
v138_off_to_v139_off,F3,111,91,-20,-3.90625000,0.18113533
v138_off_to_v139_off,pooled,281,280,-1,-0.06510417,1.00000000
v139_off_to_full_filter_control_off,F2,106,116,10,1.95312500,0.54591349
v139_off_to_safe_ft_off,F1,95,75,-20,-3.90625000,0.14483097
v139_off_to_safe_ft_off,F2,78,100,22,4.29687500,0.11523195
v139_off_to_safe_ft_off,F3,96,110,14,2.73437500,0.36510279
v139_off_to_safe_ft_off,pooled,269,285,16,1.04166667,0.52397390
v139_on_to_safe_ft_on,F1,83,71,-12,-2.34375000,0.37545689
v139_on_to_safe_ft_on,F2,83,86,3,0.58593750,0.87778995
v139_on_to_safe_ft_on,F3,80,106,26,5.07812500,0.06650044
v139_on_to_safe_ft_on,pooled,246,263,17,1.10677083,0.47824413
v139_off_to_v139_on,F1,80,94,14,2.73437500,0.32437347
v139_off_to_v139_on,F2,89,118,29,5.66406250,0.05137559
v139_off_to_v139_on,F3,107,122,15,2.92968750,0.35491622
v139_off_to_v139_on,pooled,276,334,58,3.77604167,0.02093080
safe_ft_off_to_safe_ft_on,F1,81,103,22,4.29687500,0.12135285
safe_ft_off_to_safe_ft_on,F2,91,101,10,1.95312500,0.51610963
safe_ft_off_to_safe_ft_on,F3,98,125,27,5.27343750,0.08143605
safe_ft_off_to_safe_ft_on,pooled,270,329,59,3.84114583,0.01772361
