evaluation_seed,environment_id,success,fell,timed_out,ever_intervened,post_intervention_fall,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,intervention_event_count,mean_velocity_correction_norm,mean_velocity_correction_jerk,toe_riser_contact_impulse,toe_riser_contact_force_peak,post_intervention_mean_abs_root_roll,post_intervention_mean_abs_root_pitch,post_intervention_mean_support_foot_slip,minimum_nominal_margin,minimum_filtered_margin,maximum_nominal_safe_target_error,all_finite
201350912,0,True,False,False,False,False,8,8,-2.265078067779541,528,10.56,9,1.0,0,0,0.0,0.0,58.31767272949219,656.5528564453125,0.0,0.0,0.0,-12.395360946655273,-12.395360946655273,2.384185791015625e-07,True
201350912,1,True,False,False,False,False,8,10,-2.6760544776916504,473,9.46,9,1.0,0,0,0.0,0.0,57.76118850708008,538.3560791015625,0.0,0.0,0.0,-16.257083892822266,-16.257083892822266,2.384185791015625e-07,True
201350912,2,False,True,False,False,False,2,3,-4.326204776763916,213,4.26,4,0.4444444444444444,0,0,0.0,0.0,17.7665958404541,523.930419921875,0.0,0.0,0.0,-12.919513702392578,-12.919513702392578,2.384185791015625e-07,True
201350912,3,False,True,False,False,False,5,10,-13.10659408569336,390,7.8,8,0.8888888888888888,0,0,0.0,0.0,39.351295471191406,558.1040649414062,0.0,0.0,0.0,-18.779787063598633,-18.779787063598633,2.384185791015625e-07,True
201350912,4,False,True,False,False,False,7,7,-14.395441055297852,445,8.9,2,0.2222222222222222,0,0,0.0,0.0,42.553768157958984,542.3295288085938,0.0,0.0,0.0,-14.75282096862793,-14.75282096862793,2.384185791015625e-07,True
201350912,5,True,False,False,False,False,6,6,-0.8447847366333008,467,9.34,9,1.0,0,0,0.0,0.0,45.14859390258789,569.86376953125,0.0,0.0,0.0,-18.65525245666504,-18.65525245666504,2.384185791015625e-07,True
201350912,6,True,False,False,False,False,7,7,-2.119776725769043,419,8.38,9,1.0,0,0,0.0,0.0,47.041290283203125,471.8882751464844,0.0,0.0,0.0,-30.52387046813965,-30.52387046813965,2.384185791015625e-07,True
201350912,7,True,False,False,False,False,7,9,-0.3623237609863281,416,8.32,9,1.0,0,0,0.0,0.0,51.96571731567383,498.4356689453125,0.0,0.0,0.0,-17.38088035583496,-17.38088035583496,2.384185791015625e-07,True
201350912,8,True,False,False,False,False,6,6,1.078705072402954,489,9.78,9,1.0,0,0,0.0,0.0,43.654449462890625,526.94970703125,0.0,0.0,0.0,-12.624649047851562,-12.624649047851562,2.384185791015625e-07,True
201350912,9,True,False,False,False,False,10,11,-8.023630142211914,655,13.1,9,1.0,0,0,0.0,0.0,63.43235778808594,629.2234497070312,0.0,0.0,0.0,-26.238252639770508,-26.238252639770508,2.384185791015625e-07,True
201350912,10,True,False,False,False,False,8,8,-1.3446636199951172,448,8.96,9,1.0,0,0,0.0,0.0,68.96507263183594,714.2874755859375,0.0,0.0,0.0,-23.95265007019043,-23.95265007019043,2.384185791015625e-07,True
201350912,11,True,False,False,False,False,6,6,0.5511374473571777,390,7.8,9,1.0,0,0,0.0,0.0,58.859039306640625,837.6553344726562,0.0,0.0,0.0,-11.648767471313477,-11.648767471313477,2.384185791015625e-07,True
201350912,12,True,False,False,False,False,7,7,-0.40120601654052734,460,9.200000000000001,9,1.0,0,0,0.0,0.0,52.811004638671875,505.2371826171875,0.0,0.0,0.0,-13.985896110534668,-13.985896110534668,2.384185791015625e-07,True
201350912,13,True,False,False,False,False,6,7,-0.5705394744873047,406,8.120000000000001,9,1.0,0,0,0.0,0.0,57.85011672973633,639.9697875976562,0.0,0.0,0.0,-16.318687438964844,-16.318687438964844,2.384185791015625e-07,True
201350912,14,True,False,False,False,False,6,6,0.9951062202453613,418,8.36,9,1.0,0,0,0.0,0.0,53.49123001098633,567.6261596679688,0.0,0.0,0.0,-16.638530731201172,-16.638530731201172,2.384185791015625e-07,True
201350912,15,False,True,False,False,False,5,5,-3.7512412071228027,215,4.3,4,0.4444444444444444,0,0,0.0,0.0,40.65489196777344,564.8526611328125,0.0,0.0,0.0,-11.622573852539062,-11.622573852539062,1.1920928955078125e-07,True
201350912,16,True,False,False,False,False,8,8,0.22933387756347656,424,8.48,9,1.0,0,0,0.0,0.0,59.4601936340332,495.6049499511719,0.0,0.0,0.0,-11.373137474060059,-11.373137474060059,2.384185791015625e-07,True
201350912,17,True,False,False,False,False,7,8,-0.7179064750671387,436,8.72,9,1.0,0,0,0.0,0.0,53.72705841064453,441.122314453125,0.0,0.0,0.0,-15.159989356994629,-15.159989356994629,2.384185791015625e-07,True
201350912,18,True,False,False,False,False,6,6,-1.9767684936523438,452,9.040000000000001,9,1.0,0,0,0.0,0.0,47.0234489440918,540.9465942382812,0.0,0.0,0.0,-12.57008171081543,-12.57008171081543,2.384185791015625e-07,True
201350912,19,True,False,False,False,False,6,6,-0.1077413558959961,435,8.700000000000001,9,1.0,0,0,0.0,0.0,49.05785369873047,850.72900390625,0.0,0.0,0.0,-16.6126708984375,-16.6126708984375,2.384185791015625e-07,True
201350912,20,True,False,False,False,False,5,5,0.043679237365722656,437,8.74,9,1.0,0,0,0.0,0.0,37.22208786010742,446.05322265625,0.0,0.0,0.0,-9.946401596069336,-9.946401596069336,2.384185791015625e-07,True
201350912,21,True,False,False,False,False,5,5,-0.5050272941589355,419,8.38,9,1.0,0,0,0.0,0.0,30.278728485107422,383.5677795410156,0.0,0.0,0.0,-9.236878395080566,-9.236878395080566,2.384185791015625e-07,True
201350912,22,True,False,False,False,False,5,5,-0.3766450881958008,439,8.78,9,1.0,0,0,0.0,0.0,41.89529037475586,564.8963623046875,0.0,0.0,0.0,-14.042834281921387,-14.042834281921387,2.384185791015625e-07,True
201350912,23,True,False,False,False,False,6,6,-3.100400924682617,516,10.32,9,1.0,0,0,0.0,0.0,52.06244659423828,541.9917602539062,0.0,0.0,0.0,-16.12392807006836,-16.12392807006836,2.384185791015625e-07,True
201350912,24,False,True,False,False,False,9,20,-13.163816452026367,382,7.640000000000001,8,0.8888888888888888,0,0,0.0,0.0,59.10348129272461,603.014892578125,0.0,0.0,0.0,-19.70199203491211,-19.70199203491211,2.384185791015625e-07,True
201350912,25,True,False,False,False,False,8,8,-1.4389171600341797,494,9.88,9,1.0,0,0,0.0,0.0,66.46378326416016,529.9691162109375,0.0,0.0,0.0,-18.34600830078125,-18.34600830078125,2.384185791015625e-07,True
201350912,26,False,True,False,False,False,10,11,-8.290987968444824,414,8.28,8,0.8888888888888888,0,0,0.0,0.0,77.29629516601562,723.0054321289062,0.0,0.0,0.0,-16.652263641357422,-16.652263641357422,2.384185791015625e-07,True
201350912,27,True,False,False,False,False,6,6,1.056302785873413,449,8.98,9,1.0,0,0,0.0,0.0,42.47403335571289,415.02264404296875,0.0,0.0,0.0,-11.479769706726074,-11.479769706726074,2.384185791015625e-07,True
201350912,28,True,False,False,False,False,8,8,-0.7205829620361328,418,8.36,9,1.0,0,0,0.0,0.0,77.35218811035156,664.3959350585938,0.0,0.0,0.0,-12.742058753967285,-12.742058753967285,2.384185791015625e-07,True
201350912,29,True,False,False,False,False,4,4,-4.031425476074219,538,10.76,9,1.0,0,0,0.0,0.0,27.85348129272461,405.5563049316406,0.0,0.0,0.0,-19.425844192504883,-19.425844192504883,2.384185791015625e-07,True
201350912,30,True,False,False,False,False,4,4,0.07188892364501953,509,10.18,9,1.0,0,0,0.0,0.0,26.691518783569336,388.3276062011719,0.0,0.0,0.0,-14.688247680664062,-14.688247680664062,2.384185791015625e-07,True
201350912,31,True,False,False,False,False,7,7,-2.145423412322998,455,9.1,9,1.0,0,0,0.0,0.0,51.212303161621094,642.2772827148438,0.0,0.0,0.0,-18.741718292236328,-18.741718292236328,2.384185791015625e-07,True
201350912,32,True,False,False,False,False,8,8,-0.6963906288146973,444,8.88,9,1.0,0,0,0.0,0.0,63.22343063354492,545.4727172851562,0.0,0.0,0.0,-13.241571426391602,-13.241571426391602,2.384185791015625e-07,True
201350912,33,True,False,False,False,False,8,8,-4.2111711502075195,472,9.44,9,1.0,0,0,0.0,0.0,57.92128372192383,491.0307922363281,0.0,0.0,0.0,-20.38374137878418,-20.38374137878418,2.384185791015625e-07,True
201350912,34,True,False,False,False,False,9,9,-3.7629013061523438,459,9.18,9,1.0,0,0,0.0,0.0,54.25444412231445,439.8153076171875,0.0,0.0,0.0,-21.760007858276367,-21.760007858276367,2.384185791015625e-07,True
201350912,35,False,True,False,False,False,11,11,-11.345388412475586,443,8.86,9,1.0,0,0,0.0,0.0,76.25202941894531,537.2509765625,0.0,0.0,0.0,-18.45607566833496,-18.45607566833496,2.384185791015625e-07,True
201350912,36,True,False,False,False,False,7,7,0.48364734649658203,433,8.66,9,1.0,0,0,0.0,0.0,56.25718688964844,629.8956909179688,0.0,0.0,0.0,-12.39681339263916,-12.39681339263916,2.384185791015625e-07,True
201350912,37,False,True,False,False,False,7,7,-18.3759708404541,472,9.44,7,0.7777777777777778,0,0,0.0,0.0,62.635231018066406,672.6429443359375,0.0,0.0,0.0,-32.76047897338867,-32.76047897338867,2.384185791015625e-07,True
201350912,38,True,False,False,False,False,8,8,-2.4178590774536133,479,9.58,9,1.0,0,0,0.0,0.0,48.303993225097656,532.4961547851562,0.0,0.0,0.0,-13.994436264038086,-13.994436264038086,2.384185791015625e-07,True
201350912,39,True,False,False,False,False,4,4,-1.604018211364746,484,9.68,9,1.0,0,0,0.0,0.0,33.87569046020508,489.9263610839844,0.0,0.0,0.0,-14.897603988647461,-14.897603988647461,2.384185791015625e-07,True
201350912,40,False,True,False,False,False,3,6,-9.698122024536133,200,4.0,2,0.2222222222222222,0,0,0.0,0.0,13.269542694091797,356.1044006347656,0.0,0.0,0.0,-19.546249389648438,-19.546249389648438,2.384185791015625e-07,True
201350912,41,True,False,False,False,False,9,9,-0.7946863174438477,452,9.040000000000001,9,1.0,0,0,0.0,0.0,82.45599365234375,976.1025390625,0.0,0.0,0.0,-19.6715087890625,-19.6715087890625,2.384185791015625e-07,True
201350912,42,True,False,False,False,False,7,7,-1.0072312355041504,469,9.38,9,1.0,0,0,0.0,0.0,47.97761917114258,542.9248046875,0.0,0.0,0.0,-13.153525352478027,-13.153525352478027,2.384185791015625e-07,True
201350912,43,False,True,False,False,False,2,3,-10.772624969482422,293,5.86,5,0.5555555555555556,0,0,0.0,0.0,14.903160095214844,424.71539306640625,0.0,0.0,0.0,-31.954116821289062,-31.954116821289062,2.384185791015625e-07,True
201350912,44,True,False,False,False,False,5,5,-2.5401620864868164,527,10.540000000000001,9,1.0,0,0,0.0,0.0,39.16761779785156,546.3751220703125,0.0,0.0,0.0,-24.752857208251953,-24.752857208251953,2.384185791015625e-07,True
201350912,45,False,True,False,False,False,30,104,-52.41651153564453,758,15.16,4,0.4444444444444444,0,0,0.0,0.0,126.35574340820312,1055.970703125,0.0,0.0,0.0,-37.8616828918457,-37.8616828918457,2.384185791015625e-07,True
201350912,46,False,True,False,False,False,9,17,-15.54915714263916,350,7.0,2,0.2222222222222222,0,0,0.0,0.0,65.00271606445312,1438.63134765625,0.0,0.0,0.0,-22.29996109008789,-22.29996109008789,2.384185791015625e-07,True
201350912,47,True,False,False,False,False,7,7,-0.9919781684875488,445,8.9,9,1.0,0,0,0.0,0.0,54.30442428588867,506.5498962402344,0.0,0.0,0.0,-19.802156448364258,-19.802156448364258,2.384185791015625e-07,True
201350912,48,True,False,False,False,False,6,6,-0.271242618560791,357,7.140000000000001,9,1.0,0,0,0.0,0.0,47.461090087890625,560.6542358398438,0.0,0.0,0.0,-9.859569549560547,-9.859569549560547,2.384185791015625e-07,True
201350912,49,True,False,False,False,False,3,3,-0.4639010429382324,413,8.26,9,1.0,0,0,0.0,0.0,28.18893051147461,711.2020874023438,0.0,0.0,0.0,-13.275346755981445,-13.275346755981445,2.384185791015625e-07,True
201350912,50,True,False,False,False,False,7,7,0.23427629470825195,408,8.16,9,1.0,0,0,0.0,0.0,55.484031677246094,519.6183471679688,0.0,0.0,0.0,-12.159799575805664,-12.159799575805664,2.384185791015625e-07,True
201350912,51,True,False,False,False,False,7,7,0.3374781608581543,423,8.46,9,1.0,0,0,0.0,0.0,59.887474060058594,515.4475708007812,0.0,0.0,0.0,-11.664079666137695,-11.664079666137695,2.384185791015625e-07,True
201350912,52,True,False,False,False,False,5,5,-0.5171170234680176,459,9.18,9,1.0,0,0,0.0,0.0,37.9939079284668,476.2728271484375,0.0,0.0,0.0,-15.14240550994873,-15.14240550994873,2.384185791015625e-07,True
201350912,53,True,False,False,False,False,12,12,-3.9166316986083984,453,9.06,9,1.0,0,0,0.0,0.0,97.7078857421875,695.676513671875,0.0,0.0,0.0,-16.781028747558594,-16.781028747558594,2.384185791015625e-07,True
201350912,54,True,False,False,False,False,6,7,-1.4598374366760254,498,9.96,9,1.0,0,0,0.0,0.0,49.44495391845703,590.0433349609375,0.0,0.0,0.0,-13.426735877990723,-13.426735877990723,2.384185791015625e-07,True
201350912,55,False,True,False,False,False,18,79,-36.85201644897461,731,14.620000000000001,2,0.2222222222222222,0,0,0.0,0.0,78.45568084716797,514.0165405273438,0.0,0.0,0.0,-25.321170806884766,-25.321170806884766,2.384185791015625e-07,True
201350912,56,False,True,False,False,False,8,8,-12.754568099975586,410,8.2,7,0.7777777777777778,0,0,0.0,0.0,52.53617858886719,563.520751953125,0.0,0.0,0.0,-18.800312042236328,-18.800312042236328,2.384185791015625e-07,True
201350912,57,True,False,False,False,False,2,2,-1.6511688232421875,467,9.34,9,1.0,0,0,0.0,0.0,18.592782974243164,539.038330078125,0.0,0.0,0.0,-14.806110382080078,-14.806110382080078,1.7881393432617188e-07,True
201350912,58,False,True,False,False,False,10,15,-15.957767486572266,389,7.78,9,1.0,0,0,0.0,0.0,55.404659271240234,408.5489196777344,0.0,0.0,0.0,-26.86721420288086,-26.86721420288086,2.384185791015625e-07,True
201350912,59,True,False,False,False,False,3,3,-0.38707542419433594,431,8.620000000000001,9,1.0,0,0,0.0,0.0,26.473581314086914,479.24517822265625,0.0,0.0,0.0,-10.729299545288086,-10.729299545288086,2.384185791015625e-07,True
201350912,60,True,False,False,False,False,10,10,-2.403719902038574,471,9.42,9,1.0,0,0,0.0,0.0,67.2237777709961,477.23486328125,0.0,0.0,0.0,-32.817501068115234,-32.817501068115234,2.384185791015625e-07,True
201350912,61,True,False,False,False,False,7,7,-0.67376708984375,447,8.94,9,1.0,0,0,0.0,0.0,54.61284637451172,496.3387145996094,0.0,0.0,0.0,-10.02808952331543,-10.02808952331543,2.384185791015625e-07,True
201350912,62,False,True,False,False,False,10,19,-10.13438892364502,414,8.28,9,1.0,0,0,0.0,0.0,65.36849975585938,506.4903259277344,0.0,0.0,0.0,-20.262937545776367,-20.262937545776367,2.384185791015625e-07,True
201350912,63,True,False,False,False,False,5,5,-3.039142608642578,496,9.92,9,1.0,0,0,0.0,0.0,34.05487823486328,434.42547607421875,0.0,0.0,0.0,-14.103835105895996,-14.103835105895996,2.384185791015625e-07,True
