training_seed,environment_id,global_environment_id,success,fell,steps
201350392,0,0,True,False,434
201350392,1,1,True,False,538
201350392,2,2,True,False,370
201350392,3,3,False,True,293
201350392,4,4,False,True,353
201350392,5,5,False,True,509
201350392,6,6,True,False,420
201350392,7,7,True,False,390
201350392,8,8,False,True,384
201350392,9,9,True,False,416
201350392,10,10,False,True,234
201350392,11,11,True,False,403
201350392,12,12,True,False,445
201350392,13,13,False,True,252
201350392,14,14,True,False,410
201350392,15,15,True,False,474
201350392,16,16,True,False,416
201350392,17,17,True,False,404
201350392,18,18,False,True,384
201350392,19,19,True,False,555
201350392,20,20,False,True,347
201350392,21,21,True,False,508
201350392,22,22,True,False,446
201350392,23,23,True,False,425
201350392,24,24,True,False,450
201350392,25,25,True,False,476
201350392,26,26,True,False,437
201350392,27,27,True,False,404
201350392,28,28,False,True,255
201350392,29,29,True,False,477
201350392,30,30,True,False,522
201350392,31,31,False,True,197
201350402,0,32,True,False,549
201350402,1,33,True,False,514
201350402,2,34,True,False,384
201350402,3,35,False,True,162
201350402,4,36,True,False,445
201350402,5,37,True,False,435
201350402,6,38,True,False,465
201350402,7,39,True,False,605
201350402,8,40,True,False,481
201350402,9,41,True,False,430
201350402,10,42,True,False,445
201350402,11,43,True,False,468
201350402,12,44,True,False,451
201350402,13,45,False,True,214
201350402,14,46,True,False,434
201350402,15,47,True,False,402
201350402,16,48,False,True,276
201350402,17,49,False,True,324
201350402,18,50,True,False,377
201350402,19,51,False,True,427
201350402,20,52,True,False,469
201350402,21,53,False,True,278
201350402,22,54,True,False,399
201350402,23,55,True,False,404
201350402,24,56,True,False,467
201350402,25,57,True,False,437
201350402,26,58,False,True,407
201350402,27,59,True,False,378
201350402,28,60,True,False,487
201350402,29,61,True,False,520
201350402,30,62,True,False,405
201350402,31,63,False,True,247
201350412,0,64,True,False,400
201350412,1,65,True,False,494
201350412,2,66,False,True,179
201350412,3,67,False,True,442
201350412,4,68,False,True,442
201350412,5,69,True,False,380
201350412,6,70,False,True,181
201350412,7,71,True,False,449
201350412,8,72,False,True,237
201350412,9,73,True,False,373
201350412,10,74,True,False,480
201350412,11,75,False,True,317
201350412,12,76,True,False,520
201350412,13,77,True,False,400
201350412,14,78,False,True,263
201350412,15,79,True,False,426
201350412,16,80,True,False,456
201350412,17,81,False,True,318
201350412,18,82,False,True,477
201350412,19,83,False,True,284
201350412,20,84,True,False,524
201350412,21,85,True,False,537
201350412,22,86,False,True,434
201350412,23,87,True,False,511
201350412,24,88,False,True,366
201350412,25,89,True,False,455
201350412,26,90,False,True,409
201350412,27,91,True,False,445
201350412,28,92,True,False,549
201350412,29,93,True,False,377
201350412,30,94,True,False,385
201350412,31,95,False,True,533
