environment_id,success,fell,steps,reached_risers
0,True,False,439,9
1,True,False,455,9
2,False,True,378,6
3,True,False,439,9
4,False,True,292,5
5,True,False,481,9
6,True,False,412,9
7,False,True,533,1
8,False,True,412,6
9,True,False,390,9
10,False,True,417,7
11,True,False,513,9
12,False,True,375,7
13,False,True,255,4
14,True,False,407,9
15,True,False,493,9
16,True,False,408,9
17,True,False,404,9
18,True,False,434,9
19,True,False,418,9
20,True,False,442,9
21,True,False,348,9
22,True,False,410,9
23,False,True,352,7
24,True,False,445,9
25,False,True,412,9
26,True,False,581,9
27,True,False,449,9
28,True,False,439,9
29,False,True,517,9
30,True,False,626,9
31,False,True,439,9
32,False,True,238,3
33,True,False,438,9
34,True,False,405,9
35,False,True,334,7
36,True,False,420,9
37,True,False,457,9
38,True,False,438,9
39,False,True,441,9
40,False,True,409,9
41,False,True,168,2
42,True,False,474,9
43,False,True,438,9
44,True,False,414,9
45,True,False,447,9
46,True,False,515,9
47,True,False,440,9
48,True,False,548,9
49,False,True,290,6
50,True,False,420,9
51,True,False,413,9
52,False,True,169,2
53,False,True,230,3
54,True,False,428,9
55,False,True,298,6
56,True,False,586,9
57,True,False,381,9
58,True,False,410,9
59,False,True,500,9
60,True,False,413,9
61,True,False,445,9
62,False,True,285,6
63,False,True,355,6
