environment_id,success,fell,steps,reached_risers
0,True,False,433,9
1,True,False,432,9
2,True,False,429,9
3,True,False,433,9
4,True,False,412,9
5,False,True,336,7
6,True,False,445,9
7,True,False,445,9
8,True,False,434,9
9,True,False,434,9
10,False,True,158,2
11,True,False,478,9
12,True,False,547,9
13,True,False,433,9
14,False,True,292,4
15,True,False,404,9
16,True,False,438,9
17,True,False,489,9
18,True,False,450,9
19,True,False,451,9
20,False,True,145,1
21,True,False,401,9
22,False,True,234,5
23,False,True,168,2
24,True,False,415,9
25,True,False,423,9
26,False,True,179,2
27,False,True,387,4
28,True,False,435,9
29,False,True,354,9
30,True,False,418,9
31,False,True,384,6
32,False,True,411,9
33,False,True,232,4
34,True,False,459,9
35,False,True,416,9
36,True,False,421,9
37,False,True,352,6
38,True,False,499,9
39,True,False,375,9
40,False,True,496,6
41,False,True,225,4
42,True,False,455,9
43,True,False,562,9
44,True,False,401,9
45,False,True,279,2
46,True,False,367,9
47,False,True,383,8
48,True,False,435,9
49,True,False,417,9
50,True,False,475,9
51,True,False,523,9
52,True,False,459,9
53,True,False,415,9
54,True,False,418,9
55,True,False,488,9
56,True,False,488,9
57,True,False,437,9
58,True,False,454,9
59,True,False,406,9
60,False,True,409,8
61,True,False,399,9
62,True,False,459,9
63,False,True,372,7
