evaluation_seed,environment_id,success,fell,timed_out,ever_intervened,post_intervention_fall,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,intervention_event_count,mean_velocity_correction_norm,mean_velocity_correction_jerk,toe_riser_contact_impulse,toe_riser_contact_force_peak,post_intervention_mean_abs_root_roll,post_intervention_mean_abs_root_pitch,post_intervention_mean_support_foot_slip,minimum_nominal_margin,minimum_filtered_margin,maximum_nominal_safe_target_error,all_finite
201350912,0,True,False,False,False,False,7,8,1.2148234844207764,453,9.06,9,1.0,0,0,0.0,0.0,58.06133270263672,645.9314575195312,0.0,0.0,0.0,-11.584393501281738,-11.584393501281738,2.384185791015625e-07,True
201350912,1,False,True,False,False,False,8,9,-10.948562622070312,469,9.38,9,1.0,0,0,0.0,0.0,71.06394958496094,710.955810546875,0.0,0.0,0.0,-17.012908935546875,-17.012908935546875,2.384185791015625e-07,True
201350912,2,True,False,False,False,False,7,8,-2.7373127937316895,509,10.18,9,1.0,0,0,0.0,0.0,70.5733642578125,730.3428344726562,0.0,0.0,0.0,-17.142271041870117,-17.142271041870117,2.384185791015625e-07,True
201350912,3,False,True,False,False,False,6,15,-10.519929885864258,382,7.640000000000001,6,0.6666666666666666,0,0,0.0,0.0,42.280921936035156,637.2540893554688,0.0,0.0,0.0,-13.199084281921387,-13.199084281921387,2.384185791015625e-07,True
201350912,4,False,True,False,False,False,39,234,-119.51559448242188,965,19.3,7,0.7777777777777778,0,0,0.0,0.0,186.87701416015625,1123.4793701171875,0.0,0.0,0.0,-38.201900482177734,-38.201900482177734,1.7881393432617188e-07,True
201350912,5,True,False,False,False,False,8,8,-0.9091858863830566,471,9.42,9,1.0,0,0,0.0,0.0,60.52403259277344,505.908935546875,0.0,0.0,0.0,-16.813579559326172,-16.813579559326172,2.384185791015625e-07,True
201350912,6,True,False,False,False,False,5,5,-1.7999610900878906,400,8.0,9,1.0,0,0,0.0,0.0,35.31203079223633,477.7093200683594,0.0,0.0,0.0,-28.57929039001465,-28.57929039001465,2.384185791015625e-07,True
201350912,7,True,False,False,False,False,8,8,-0.3668370246887207,477,9.540000000000001,9,1.0,0,0,0.0,0.0,43.07815170288086,361.30499267578125,0.0,0.0,0.0,-19.313241958618164,-19.313241958618164,2.384185791015625e-07,True
201350912,8,True,False,False,False,False,9,9,2.3397715091705322,459,9.18,9,1.0,0,0,0.0,0.0,68.577392578125,467.3486022949219,0.0,0.0,0.0,-11.323882102966309,-11.323882102966309,2.384185791015625e-07,True
201350912,9,True,False,False,False,False,7,7,-6.844213008880615,583,11.66,9,1.0,0,0,0.0,0.0,54.28199768066406,501.5945739746094,0.0,0.0,0.0,-20.929943084716797,-20.929943084716797,2.384185791015625e-07,True
201350912,10,True,False,False,False,False,6,6,-0.8208446502685547,397,7.94,9,1.0,0,0,0.0,0.0,53.307044982910156,724.8834838867188,0.0,0.0,0.0,-19.268627166748047,-19.268627166748047,2.384185791015625e-07,True
201350912,11,False,True,False,False,False,5,5,-5.571984767913818,288,5.76,6,0.6666666666666666,0,0,0.0,0.0,39.894134521484375,493.4674987792969,0.0,0.0,0.0,-11.702231407165527,-11.702231407165527,2.384185791015625e-07,True
