environment_id,success,fell,steps,reached_risers
0,True,False,446,9
1,True,False,437,9
2,True,False,479,9
3,False,True,289,3
4,True,False,462,9
5,False,True,214,4
6,True,False,435,9
7,True,False,472,9
8,True,False,402,9
9,True,False,444,9
10,True,False,421,9
11,True,False,362,9
12,True,False,412,9
13,True,False,439,9
14,True,False,521,9
15,True,False,427,9
16,True,False,424,9
17,False,True,383,8
18,True,False,472,9
19,True,False,531,9
20,False,True,515,9
21,True,False,494,9
22,True,False,467,9
23,True,False,379,9
24,True,False,403,9
25,False,True,416,4
26,True,False,450,9
27,False,True,415,9
28,True,False,435,9
29,False,True,443,9
30,True,False,431,9
31,True,False,375,9
32,True,False,515,9
33,False,True,384,9
34,True,False,418,9
35,True,False,545,9
36,True,False,474,9
37,True,False,444,9
38,False,True,243,6
39,True,False,498,9
40,True,False,464,9
41,True,False,532,9
42,True,False,380,9
43,False,True,350,6
44,True,False,515,9
45,False,True,395,9
46,False,True,335,8
47,True,False,465,9
48,False,True,384,6
49,True,False,550,9
50,False,True,213,2
51,False,True,405,9
52,True,False,405,9
53,False,True,349,9
54,True,False,410,9
55,True,False,424,9
56,True,False,400,9
57,True,False,395,9
58,True,False,452,9
59,True,False,504,9
60,True,False,440,9
61,False,True,452,9
62,False,True,383,5
63,True,False,431,9
