environment_id,success,fell,steps,reached_risers
0,True,False,386,9
1,True,False,482,9
2,True,False,519,9
3,True,False,463,9
4,False,True,391,7
5,True,False,402,9
6,False,True,279,6
7,True,False,491,9
8,True,False,433,9
9,True,False,408,9
10,True,False,466,9
11,False,True,265,6
12,True,False,441,9
13,True,False,437,9
14,True,False,402,9
15,True,False,452,9
16,True,False,585,9
17,True,False,447,9
18,False,True,428,9
19,True,False,438,9
20,True,False,429,9
21,True,False,495,9
22,False,True,299,3
23,False,True,444,9
24,False,True,317,6
25,True,False,542,9
26,False,True,177,2
27,True,False,381,9
28,False,True,691,1
29,True,False,474,9
30,True,False,512,9
31,True,False,548,9
32,True,False,351,9
33,False,True,386,6
34,True,False,456,9
35,True,False,458,9
36,True,False,452,9
37,False,True,170,2
38,False,True,384,8
39,True,False,416,9
40,False,True,415,7
41,True,False,457,9
42,True,False,532,9
43,True,False,439,9
44,False,True,256,5
45,False,True,392,7
46,False,True,174,2
47,True,False,395,9
48,True,False,422,9
49,True,False,476,9
50,False,True,409,6
51,True,False,409,9
52,True,False,418,9
53,False,True,387,8
54,True,False,355,9
55,True,False,401,9
56,True,False,427,9
57,False,True,183,2
58,True,False,418,9
59,False,True,230,2
60,True,False,505,9
61,True,False,426,9
62,False,True,406,6
63,False,True,381,8
