evaluation_seed,environment_id,success,fell,timed_out,ever_intervened,post_intervention_fall,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,intervention_event_count,mean_velocity_correction_norm,mean_velocity_correction_jerk,toe_riser_contact_impulse,toe_riser_contact_force_peak,post_intervention_mean_abs_root_roll,post_intervention_mean_abs_root_pitch,post_intervention_mean_support_foot_slip,minimum_nominal_margin,minimum_filtered_margin,maximum_nominal_safe_target_error,all_finite
201350942,0,True,False,False,False,False,3,4,-0.4248809814453125,386,7.72,9,1.0,0,0,0.0,0.0,29.882551193237305,507.5320739746094,0.0,0.0,0.0,-9.666764259338379,-9.666764259338379,2.384185791015625e-07,True
201350942,1,True,False,False,False,False,4,4,0.3433103561401367,440,8.8,9,1.0,0,0,0.0,0.0,32.717899322509766,523.7134399414062,0.0,0.0,0.0,-11.333274841308594,-11.333274841308594,2.384185791015625e-07,True
201350942,2,False,True,False,False,False,5,7,-8.110671997070312,657,13.14,1,0.1111111111111111,0,0,0.0,0.0,53.22365951538086,1905.1085205078125,0.0,0.0,0.0,-24.31196403503418,-24.31196403503418,2.384185791015625e-07,True
201350942,3,False,True,False,False,False,3,4,-11.619726181030273,289,5.78,3,0.3333333333333333,0,0,0.0,0.0,21.15349578857422,407.66522216796875,0.0,0.0,0.0,-14.96304988861084,-14.96304988861084,1.7881393432617188e-07,True
201350942,4,True,False,False,False,False,9,9,-3.421541213989258,515,10.3,9,1.0,0,0,0.0,0.0,62.43815612792969,484.9542236328125,0.0,0.0,0.0,-15.94466495513916,-15.94466495513916,2.384185791015625e-07,True
201350942,5,False,True,False,False,False,8,8,-8.499002456665039,413,8.26,9,1.0,0,0,0.0,0.0,59.31291198730469,515.0470581054688,0.0,0.0,0.0,-11.697710037231445,-11.697710037231445,2.384185791015625e-07,True
201350942,6,True,False,False,False,False,5,5,0.742095947265625,416,8.32,9,1.0,0,0,0.0,0.0,38.583106994628906,480.614501953125,0.0,0.0,0.0,-13.872247695922852,-13.872247695922852,2.384185791015625e-07,True
201350942,7,True,False,False,False,False,5,5,-0.28049612045288086,412,8.24,9,1.0,0,0,0.0,0.0,36.14695739746094,431.3028259277344,0.0,0.0,0.0,-13.064899444580078,-13.064899444580078,2.384185791015625e-07,True
201350942,8,False,True,False,False,False,7,9,-5.216494560241699,222,4.44,5,0.5555555555555556,0,0,0.0,0.0,57.684749603271484,561.5330810546875,0.0,0.0,0.0,-13.354398727416992,-13.354398727416992,2.384185791015625e-07,True
201350942,9,False,True,False,False,False,3,6,-7.0425310134887695,199,3.98,3,0.3333333333333333,0,0,0.0,0.0,6.229283332824707,181.4896240234375,0.0,0.0,0.0,-15.272034645080566,-15.272034645080566,2.384185791015625e-07,True
