training_seed,environment_id,global_environment_id,filter_on_success,filter_off_success,filter_rescued,filter_on_fell,filter_off_fell,filter_on_steps,filter_off_steps
201350282,0,0,False,True,False,True,False,297,446
201350282,1,1,True,True,False,False,False,402,399
201350282,2,2,True,True,False,False,False,360,571
201350282,3,3,True,False,True,False,True,412,382
201350282,4,4,True,True,False,False,False,478,486
201350282,5,5,True,False,True,False,True,645,145
201350282,6,6,False,True,False,True,False,384,395
201350282,7,7,True,False,True,False,True,434,138
201350282,8,8,False,True,False,True,False,425,469
201350282,9,9,True,False,True,False,True,437,382
201350282,10,10,True,True,False,False,False,341,399
201350282,11,11,True,False,True,False,True,390,446
201350282,12,12,True,True,False,False,False,406,452
201350282,13,13,True,False,True,False,True,506,351
201350282,14,14,True,True,False,False,False,419,478
201350282,15,15,False,True,False,True,False,287,458
201350282,16,16,True,True,False,False,False,389,386
201350282,17,17,False,True,False,True,False,421,517
201350282,18,18,True,True,False,False,False,439,506
201350282,19,19,False,True,False,True,False,424,407
201350282,20,20,False,True,False,True,False,240,430
201350282,21,21,False,False,False,True,True,130,274
201350282,22,22,True,True,False,False,False,455,424
201350282,23,23,True,True,False,False,False,397,522
201350282,24,24,False,True,False,True,False,277,521
201350282,25,25,True,False,True,False,True,401,470
201350282,26,26,True,True,False,False,False,387,410
201350282,27,27,True,True,False,False,False,432,465
201350282,28,28,False,True,False,True,False,340,554
201350282,29,29,True,True,False,False,False,412,434
201350282,30,30,True,True,False,False,False,493,449
201350282,31,31,False,False,False,True,True,188,200
201350292,0,32,True,True,False,False,False,410,389
201350292,1,33,True,True,False,False,False,359,399
201350292,2,34,True,True,False,False,False,428,437
201350292,3,35,True,False,True,False,True,408,499
201350292,4,36,True,True,False,False,False,411,527
201350292,5,37,True,True,False,False,False,464,404
201350292,6,38,True,True,False,False,False,475,414
201350292,7,39,True,True,False,False,False,480,499
201350292,8,40,False,True,False,True,False,398,424
201350292,9,41,True,True,False,False,False,482,462
201350292,10,42,True,True,False,False,False,347,558
201350292,11,43,True,False,True,False,True,418,350
201350292,12,44,False,True,False,True,False,234,418
201350292,13,45,True,False,True,False,True,449,364
201350292,14,46,True,False,True,False,True,389,351
201350292,15,47,True,True,False,False,False,464,469
201350292,16,48,True,True,False,False,False,407,429
201350292,17,49,True,True,False,False,False,385,369
201350292,18,50,True,True,False,False,False,402,452
201350292,19,51,True,True,False,False,False,437,370
201350292,20,52,True,False,True,False,True,356,419
201350292,21,53,True,False,True,False,True,441,214
201350292,22,54,True,False,True,False,True,425,297
201350292,23,55,True,True,False,False,False,429,519
201350292,24,56,True,True,False,False,False,417,399
201350292,25,57,True,True,False,False,False,515,385
201350292,26,58,True,True,False,False,False,437,484
201350292,27,59,True,False,True,False,True,443,269
201350292,28,60,True,True,False,False,False,377,418
201350292,29,61,True,True,False,False,False,399,510
201350292,30,62,True,False,True,False,True,422,478
201350292,31,63,True,True,False,False,False,435,479
201350302,0,64,True,False,True,False,True,427,269
201350302,1,65,True,False,True,False,True,402,473
201350302,2,66,False,True,False,True,False,136,413
201350302,3,67,True,True,False,False,False,435,494
201350302,4,68,True,True,False,False,False,443,508
201350302,5,69,False,True,False,True,False,471,393
201350302,6,70,True,True,False,False,False,419,450
201350302,7,71,True,True,False,False,False,429,440
201350302,8,72,False,False,False,True,True,516,345
201350302,9,73,True,False,True,False,True,393,303
201350302,10,74,False,True,False,True,False,323,439
201350302,11,75,False,True,False,True,False,329,445
201350302,12,76,True,True,False,False,False,404,419
201350302,13,77,True,True,False,False,False,341,390
201350302,14,78,True,True,False,False,False,639,407
201350302,15,79,True,False,True,False,True,377,412
201350302,16,80,True,True,False,False,False,442,407
201350302,17,81,True,True,False,False,False,482,484
201350302,18,82,True,True,False,False,False,616,420
201350302,19,83,False,True,False,True,False,294,387
201350302,20,84,True,True,False,False,False,434,477
201350302,21,85,False,True,False,True,False,386,405
201350302,22,86,True,False,True,False,True,384,128
201350302,23,87,True,True,False,False,False,382,390
201350302,24,88,True,False,True,False,True,407,411
201350302,25,89,True,False,True,False,True,355,555
201350302,26,90,True,True,False,False,False,403,514
201350302,27,91,True,True,False,False,False,439,449
201350302,28,92,True,True,False,False,False,438,383
201350302,29,93,True,True,False,False,False,461,451
201350302,30,94,True,True,False,False,False,438,440
201350302,31,95,False,False,False,True,True,300,687
