scale,group_environment_id,environment_id,success,fell,steps,reached_risers
0.0,0,0,False,True,220,1
0.0,1,1,True,False,444,9
0.0,2,2,True,False,413,9
0.0,3,3,True,False,403,9
0.0,4,4,True,False,419,9
0.0,5,5,True,False,507,9
0.0,6,6,True,False,512,9
0.0,7,7,True,False,522,9
0.0,8,8,True,False,417,9
0.0,9,9,False,True,386,9
0.0,10,10,True,False,396,9
0.0,11,11,True,False,460,9
0.0,12,12,True,False,466,9
0.0,13,13,True,False,470,9
0.0,14,14,True,False,457,9
0.0,15,15,True,False,436,9
0.0,16,16,False,True,354,7
0.0,17,17,True,False,391,9
0.0,18,18,False,True,218,3
0.0,19,19,True,False,453,9
0.0,20,20,True,False,455,9
0.0,21,21,True,False,451,9
0.0,22,22,True,False,395,9
0.0,23,23,False,True,251,7
0.0,24,24,True,False,401,9
0.0,25,25,True,False,462,9
0.0,26,26,False,True,261,3
0.0,27,27,True,False,408,9
0.0,28,28,False,True,349,5
0.0,29,29,True,False,466,9
0.0,30,30,True,False,487,9
0.0,31,31,True,False,432,9
0.0,32,32,True,False,610,9
0.0,33,33,False,True,346,8
0.0,34,34,False,True,426,5
0.0,35,35,False,True,323,5
0.0,36,36,False,True,165,2
0.0,37,37,True,False,445,9
0.0,38,38,True,False,406,9
0.0,39,39,False,True,364,7
0.0,40,40,False,True,140,1
0.0,41,41,True,False,409,9
0.0,42,42,True,False,474,9
0.0,43,43,True,False,386,9
0.0,44,44,True,False,457,9
0.0,45,45,True,False,448,9
0.0,46,46,False,True,288,4
0.0,47,47,False,True,233,4
0.0,48,48,False,True,410,7
0.0,49,49,False,True,531,9
0.0,50,50,True,False,407,9
0.0,51,51,True,False,455,9
0.0,52,52,True,False,394,9
0.0,53,53,True,False,443,9
0.0,54,54,True,False,356,9
0.0,55,55,True,False,446,9
0.0,56,56,True,False,378,9
0.0,57,57,True,False,403,9
0.0,58,58,True,False,389,9
0.0,59,59,True,False,497,9
0.0,60,60,True,False,627,9
0.0,61,61,True,False,547,9
0.0,62,62,True,False,406,9
0.0,63,63,False,True,168,2
0.5,0,64,False,True,200,3
0.5,1,65,False,True,376,7
0.5,2,66,True,False,425,9
0.5,3,67,True,False,483,9
0.5,4,68,False,True,354,6
0.5,5,69,False,True,375,8
0.5,6,70,True,False,460,9
