evaluation_seed,environment_id,success,fell,timed_out,ever_intervened,post_intervention_fall,toe_riser_kick_count,unsafe_overlap_steps,return,steps,completion_time_s,max_riser,completion_fraction,intervention_count,intervention_event_count,mean_velocity_correction_norm,mean_velocity_correction_jerk,toe_riser_contact_impulse,toe_riser_contact_force_peak,post_intervention_mean_abs_root_roll,post_intervention_mean_abs_root_pitch,post_intervention_mean_support_foot_slip,minimum_nominal_margin,minimum_filtered_margin,maximum_nominal_safe_target_error,all_finite
201350952,0,True,False,False,False,False,7,7,1.0893242359161377,406,8.120000000000001,9,1.0,0,0,0.0,0.0,61.69377899169922,578.3928833007812,0.0,0.0,0.0,-9.284235000610352,-9.284235000610352,2.384185791015625e-07,True
201350952,1,True,False,False,False,False,9,9,-5.20009708404541,476,9.52,9,1.0,0,0,0.0,0.0,74.04786682128906,756.2218017578125,0.0,0.0,0.0,-25.82773208618164,-25.82773208618164,2.384185791015625e-07,True
201350952,2,True,False,False,False,False,4,4,-0.21576166152954102,443,8.86,9,1.0,0,0,0.0,0.0,30.661758422851562,448.857177734375,0.0,0.0,0.0,-11.667794227600098,-11.667794227600098,2.384185791015625e-07,True
201350952,3,True,False,False,False,False,8,9,-2.5683770179748535,464,9.28,9,1.0,0,0,0.0,0.0,53.634178161621094,906.4690551757812,0.0,0.0,0.0,-21.08319854736328,-21.08319854736328,2.384185791015625e-07,True
201350952,4,True,False,False,False,False,7,7,-0.5291342735290527,397,7.94,9,1.0,0,0,0.0,0.0,55.915016174316406,482.21160888671875,0.0,0.0,0.0,-9.808171272277832,-9.808171272277832,2.384185791015625e-07,True
201350952,5,True,False,False,False,False,3,3,1.1463825702667236,431,8.620000000000001,9,1.0,0,0,0.0,0.0,25.67833709716797,475.09771728515625,0.0,0.0,0.0,-15.423942565917969,-15.423942565917969,2.384185791015625e-07,True
201350952,6,True,False,False,False,False,7,7,1.6021909713745117,424,8.48,9,1.0,0,0,0.0,0.0,47.59247970581055,391.7671813964844,0.0,0.0,0.0,-10.912890434265137,-10.912890434265137,2.384185791015625e-07,True
201350952,7,False,True,False,False,False,5,6,-12.158248901367188,329,6.58,4,0.4444444444444444,0,0,0.0,0.0,32.88356399536133,439.05450439453125,0.0,0.0,0.0,-18.914230346679688,-18.914230346679688,2.384185791015625e-07,True
201350952,8,True,False,False,False,False,7,8,-9.705259323120117,646,12.92,9,1.0,0,0,0.0,0.0,50.383663177490234,476.3193054199219,0.0,0.0,0.0,-28.203121185302734,-28.203121185302734,2.384185791015625e-07,True
201350952,9,False,True,False,False,False,8,8,-22.80031967163086,535,10.700000000000001,9,1.0,0,0,0.0,0.0,56.20067596435547,575.0494384765625,0.0,0.0,0.0,-35.02574157714844,-35.02574157714844,2.384185791015625e-07,True
201350952,10,False,True,False,False,False,8,15,-14.127922058105469,412,8.24,7,0.7777777777777778,0,0,0.0,0.0,46.00875473022461,521.6516723632812,0.0,0.0,0.0,-18.071781158447266,-18.071781158447266,2.384185791015625e-07,True
201350952,11,True,False,False,False,False,10,10,0.9927544593811035,466,9.32,9,1.0,0,0,0.0,0.0,72.15145111083984,445.8512268066406,0.0,0.0,0.0,-10.7113037109375,-10.7113037109375,2.384185791015625e-07,True
201350952,12,True,False,False,False,False,6,6,-1.6045689582824707,463,9.26,9,1.0,0,0,0.0,0.0,56.9314079284668,588.3386840820312,0.0,0.0,0.0,-13.931758880615234,-13.931758880615234,2.384185791015625e-07,True
201350952,13,True,False,False,False,False,4,6,-0.732271671295166,519,10.38,9,1.0,0,0,0.0,0.0,24.81865119934082,484.49383544921875,0.0,0.0,0.0,-11.581704139709473,-11.581704139709473,2.384185791015625e-07,True
201350952,14,False,True,False,False,False,10,19,-9.888702392578125,415,8.3,9,1.0,0,0,0.0,0.0,63.08289337158203,567.939453125,0.0,0.0,0.0,-11.584542274475098,-11.584542274475098,2.384185791015625e-07,True
201350952,15,True,False,False,False,False,7,8,-0.09790420532226562,483,9.66,9,1.0,0,0,0.0,0.0,57.19716262817383,566.2028198242188,0.0,0.0,0.0,-12.39001750946045,-12.39001750946045,2.384185791015625e-07,True
201350952,16,True,False,False,False,False,4,4,-6.561192512512207,557,11.14,9,1.0,0,0,0.0,0.0,36.42925262451172,554.9134521484375,0.0,0.0,0.0,-24.547618865966797,-24.547618865966797,2.384185791015625e-07,True
201350952,17,True,False,False,False,False,5,6,-0.9659566879272461,408,8.16,9,1.0,0,0,0.0,0.0,46.677520751953125,481.9952087402344,0.0,0.0,0.0,-16.300954818725586,-16.300954818725586,2.384185791015625e-07,True
201350952,18,True,False,False,False,False,7,7,-5.608022689819336,538,10.76,9,1.0,0,0,0.0,0.0,64.97913360595703,820.349853515625,0.0,0.0,0.0,-26.633281707763672,-26.633281707763672,2.384185791015625e-07,True
201350952,19,True,False,False,False,False,5,5,0.12821197509765625,389,7.78,9,1.0,0,0,0.0,0.0,37.5256462097168,470.0791931152344,0.0,0.0,0.0,-15.280683517456055,-15.280683517456055,2.384185791015625e-07,True
201350952,20,True,False,False,False,False,7,7,0.23828554153442383,411,8.22,9,1.0,0,0,0.0,0.0,57.89306640625,448.0543212890625,0.0,0.0,0.0,-17.31049346923828,-17.31049346923828,2.384185791015625e-07,True
201350952,21,True,False,False,False,False,10,10,0.45154857635498047,503,10.06,9,1.0,0,0,0.0,0.0,57.46333694458008,440.66351318359375,0.0,0.0,0.0,-16.572978973388672,-16.572978973388672,2.384185791015625e-07,True
201350952,22,False,True,False,False,False,6,6,-10.764352798461914,411,8.22,9,1.0,0,0,0.0,0.0,56.454345703125,598.2142944335938,0.0,0.0,0.0,-18.79214096069336,-18.79214096069336,2.384185791015625e-07,True
201350952,23,True,False,False,False,False,7,7,-0.11132097244262695,436,8.72,9,1.0,0,0,0.0,0.0,55.13829803466797,478.2401428222656,0.0,0.0,0.0,-16.192630767822266,-16.192630767822266,2.384185791015625e-07,True
201350952,24,True,False,False,False,False,6,6,0.08847856521606445,403,8.06,9,1.0,0,0,0.0,0.0,51.070899963378906,800.1971435546875,0.0,0.0,0.0,-10.25796890258789,-10.25796890258789,2.384185791015625e-07,True
201350952,25,True,False,False,False,False,6,6,0.04604339599609375,433,8.66,9,1.0,0,0,0.0,0.0,48.471717834472656,596.8472900390625,0.0,0.0,0.0,-11.646634101867676,-11.646634101867676,2.384185791015625e-07,True
201350952,26,False,True,False,False,False,8,8,-8.315606117248535,353,7.0600000000000005,6,0.6666666666666666,0,0,0.0,0.0,66.4255599975586,818.37451171875,0.0,0.0,0.0,-16.685436248779297,-16.685436248779297,1.7881393432617188e-07,True
201350952,27,False,True,False,False,False,6,6,-8.016408920288086,316,6.32,5,0.5555555555555556,0,0,0.0,0.0,38.639095306396484,610.3062744140625,0.0,0.0,0.0,-18.226741790771484,-18.226741790771484,2.384185791015625e-07,True
201350952,28,False,True,False,False,False,14,29,-10.531267166137695,313,6.26,3,0.3333333333333333,0,0,0.0,0.0,58.02250671386719,444.5709533691406,0.0,0.0,0.0,-16.57962989807129,-16.57962989807129,2.384185791015625e-07,True
201350952,29,True,False,False,False,False,6,6,-0.05721759796142578,438,8.76,9,1.0,0,0,0.0,0.0,51.364925384521484,530.4009399414062,0.0,0.0,0.0,-13.446418762207031,-13.446418762207031,2.384185791015625e-07,True
201350952,30,True,False,False,False,False,7,7,-0.2832207679748535,466,9.32,9,1.0,0,0,0.0,0.0,58.1087760925293,514.3251953125,0.0,0.0,0.0,-12.242962837219238,-12.242962837219238,2.384185791015625e-07,True
201350952,31,False,True,False,False,False,5,5,-11.14167308807373,422,8.44,9,1.0,0,0,0.0,0.0,47.47994613647461,512.9642944335938,0.0,0.0,0.0,-9.672730445861816,-9.672730445861816,2.384185791015625e-07,True
201350952,32,False,True,False,False,False,9,13,-9.349933624267578,383,7.66,8,0.8888888888888888,0,0,0.0,0.0,52.99059295654297,403.55450439453125,0.0,0.0,0.0,-18.48451042175293,-18.48451042175293,2.384185791015625e-07,True
201350952,33,True,False,False,False,False,5,5,-1.551530361175537,421,8.42,9,1.0,0,0,0.0,0.0,50.946407318115234,1110.83203125,0.0,0.0,0.0,-16.92902374267578,-16.92902374267578,2.384185791015625e-07,True
201350952,34,False,True,False,False,False,6,7,-7.046968936920166,311,6.22,7,0.7777777777777778,0,0,0.0,0.0,41.75288772583008,455.3488464355469,0.0,0.0,0.0,-25.676498413085938,-25.676498413085938,2.384185791015625e-07,True
201350952,35,False,True,False,False,False,4,22,-10.36334228515625,355,7.1000000000000005,7,0.7777777777777778,0,0,0.0,0.0,13.733379364013672,405.6143493652344,0.0,0.0,0.0,-11.297967910766602,-11.297967910766602,2.384185791015625e-07,True
201350952,36,True,False,False,False,False,4,4,-3.667731285095215,459,9.18,9,1.0,0,0,0.0,0.0,24.163578033447266,399.771728515625,0.0,0.0,0.0,-19.404216766357422,-19.404216766357422,2.384185791015625e-07,True
201350952,37,True,False,False,False,False,6,6,-1.1477670669555664,474,9.48,9,1.0,0,0,0.0,0.0,33.23387145996094,430.6490783691406,0.0,0.0,0.0,-13.40190601348877,-13.40190601348877,2.384185791015625e-07,True
201350952,38,True,False,False,False,False,9,9,0.649742603302002,400,8.0,9,1.0,0,0,0.0,0.0,76.59077453613281,684.977783203125,0.0,0.0,0.0,-13.26912784576416,-13.26912784576416,2.384185791015625e-07,True
201350952,39,True,False,False,False,False,8,8,-0.8491287231445312,493,9.86,9,1.0,0,0,0.0,0.0,68.70721435546875,560.2825317382812,0.0,0.0,0.0,-15.29705810546875,-15.29705810546875,2.384185791015625e-07,True
201350952,40,True,False,False,False,False,4,4,0.39657115936279297,407,8.14,9,1.0,0,0,0.0,0.0,33.7107048034668,504.2947998046875,0.0,0.0,0.0,-13.477965354919434,-13.477965354919434,2.384185791015625e-07,True
201350952,41,False,True,False,False,False,6,7,-11.84085750579834,456,9.120000000000001,9,1.0,0,0,0.0,0.0,54.47306823730469,685.4778442382812,0.0,0.0,0.0,-11.435005187988281,-11.435005187988281,2.384185791015625e-07,True
201350952,42,True,False,False,False,False,8,8,0.810150146484375,569,11.38,9,1.0,0,0,0.0,0.0,50.17886734008789,469.1927185058594,0.0,0.0,0.0,-14.20610237121582,-14.20610237121582,2.384185791015625e-07,True
201350952,43,True,False,False,False,False,7,7,1.8932750225067139,433,8.66,9,1.0,0,0,0.0,0.0,59.423240661621094,566.2238159179688,0.0,0.0,0.0,-12.560994148254395,-12.560994148254395,2.384185791015625e-07,True
201350952,44,True,False,False,False,False,5,5,-8.75934886932373,670,13.4,9,1.0,0,0,0.0,0.0,28.993255615234375,340.3521423339844,0.0,0.0,0.0,-19.61745834350586,-19.61745834350586,1.4901161193847656e-07,True
201350952,45,True,False,False,False,False,4,5,-0.48197460174560547,421,8.42,9,1.0,0,0,0.0,0.0,30.72475814819336,441.2355041503906,0.0,0.0,0.0,-15.043861389160156,-15.043861389160156,2.384185791015625e-07,True
201350952,46,False,True,False,False,False,0,0,-7.51963996887207,170,3.4,2,0.2222222222222222,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.98326587677002,-15.98326587677002,1.7881393432617188e-07,True
201350952,47,True,False,False,False,False,8,8,1.494103193283081,425,8.5,9,1.0,0,0,0.0,0.0,58.8831787109375,507.1543273925781,0.0,0.0,0.0,-12.452259063720703,-12.452259063720703,2.384185791015625e-07,True
201350952,48,True,False,False,False,False,6,6,1.1897633075714111,437,8.74,9,1.0,0,0,0.0,0.0,53.039581298828125,551.15673828125,0.0,0.0,0.0,-12.085341453552246,-12.085341453552246,2.384185791015625e-07,True
201350952,49,True,False,False,False,False,8,9,0.2418680191040039,407,8.14,9,1.0,0,0,0.0,0.0,64.41905212402344,586.751953125,0.0,0.0,0.0,-17.621688842773438,-17.621688842773438,2.384185791015625e-07,True
201350952,50,True,False,False,False,False,8,8,0.5234556198120117,383,7.66,9,1.0,0,0,0.0,0.0,61.5294303894043,479.60162353515625,0.0,0.0,0.0,-11.610286712646484,-11.610286712646484,2.384185791015625e-07,True
