environment_id,success,fell,steps,reached_risers
0,True,False,466,9
1,True,False,527,9
2,True,False,616,9
3,False,True,428,9
4,False,True,464,8
5,True,False,355,9
6,True,False,552,9
7,True,False,531,9
8,True,False,409,9
9,True,False,455,9
10,True,False,530,9
11,False,True,485,9
12,False,True,161,3
13,False,True,334,9
14,True,False,404,9
15,False,True,383,6
16,True,False,399,9
17,True,False,434,9
18,True,False,453,9
19,True,False,486,9
20,False,True,353,8
21,True,False,441,9
22,False,True,355,8
23,False,True,440,8
24,False,True,262,4
25,False,True,423,9
26,False,True,297,3
27,False,True,223,4
28,True,False,409,9
29,False,True,301,9
30,True,False,512,9
31,True,False,462,9
32,True,False,338,9
33,True,False,439,9
34,True,False,472,9
35,False,True,401,4
36,True,False,414,9
37,False,True,278,3
38,False,True,412,9
39,False,True,430,9
40,False,True,537,9
41,True,False,478,9
42,True,False,408,9
43,True,False,443,9
44,True,False,606,9
45,True,False,524,9
46,False,True,476,9
47,True,False,479,9
48,True,False,421,9
49,False,True,419,7
50,True,False,389,9
51,True,False,417,9
52,False,True,392,9
53,True,False,379,9
54,True,False,406,9
55,True,False,442,9
56,False,True,157,2
57,True,False,435,9
58,False,True,182,1
59,True,False,412,9
60,True,False,483,9
61,False,True,475,9
62,False,True,416,8
63,True,False,467,9
