environment_id,success,fell,steps,reached_risers
0,True,False,435,9
1,True,False,440,9
2,False,True,163,2
3,False,True,259,2
4,True,False,566,9
5,True,False,464,9
6,True,False,427,9
7,True,False,464,9
8,False,True,348,8
9,False,True,376,8
10,True,False,494,9
11,False,True,441,9
12,True,False,505,9
13,True,False,419,9
14,False,True,379,3
15,True,False,435,9
16,True,False,421,9
17,True,False,414,9
18,False,True,462,7
19,False,True,369,7
20,False,True,383,8
21,True,False,437,9
22,True,False,440,9
23,False,True,593,1
24,True,False,439,9
25,True,False,453,9
26,True,False,439,9
27,True,False,416,9
28,True,False,460,9
29,True,False,483,9
30,False,True,524,7
31,False,True,322,7
32,False,True,293,3
33,True,False,505,9
34,True,False,518,9
35,True,False,545,9
36,False,True,328,4
37,True,False,435,9
38,False,True,206,4
39,True,False,407,9
40,True,False,402,9
41,True,False,487,9
42,False,True,345,3
43,True,False,403,9
44,True,False,416,9
45,True,False,444,9
46,True,False,468,9
47,True,False,474,9
48,True,False,449,9
49,False,True,410,6
50,False,True,391,9
51,True,False,418,9
52,True,False,457,9
53,True,False,496,9
54,True,False,420,9
55,True,False,433,9
56,False,True,286,6
57,False,True,237,1
58,True,False,384,9
59,True,False,442,9
60,True,False,437,9
61,False,True,340,9
62,False,True,150,1
63,True,False,415,9
