environment_id,success,fell,steps,reached_risers
0,False,True,224,2
1,False,True,266,2
2,True,False,398,9
3,True,False,401,9
4,False,True,550,9
5,True,False,424,9
6,False,True,213,3
7,True,False,413,9
8,True,False,379,9
9,True,False,443,9
10,True,False,403,9
11,True,False,450,9
12,False,True,380,8
13,True,False,565,9
14,True,False,432,9
15,False,True,416,9
16,True,False,413,9
17,False,True,391,6
18,True,False,489,9
19,True,False,362,9
20,False,True,350,4
21,True,False,482,9
22,True,False,361,9
23,True,False,456,9
24,True,False,448,9
25,True,False,435,9
26,False,True,295,6
27,False,True,234,4
28,True,False,437,9
29,True,False,406,9
30,True,False,538,9
31,True,False,404,9
32,False,True,253,5
33,True,False,428,9
34,True,False,433,9
35,True,False,409,9
36,False,True,409,7
37,False,True,381,9
38,False,True,277,3
39,True,False,417,9
40,True,False,420,9
41,True,False,474,9
42,False,True,290,5
43,True,False,391,9
44,True,False,452,9
45,True,False,453,9
46,False,True,382,9
47,True,False,417,9
48,True,False,463,9
49,True,False,551,9
50,True,False,482,9
51,True,False,521,9
52,False,True,257,5
53,True,False,472,9
54,True,False,436,9
55,True,False,399,9
56,True,False,427,9
57,True,False,432,9
58,True,False,465,9
59,False,True,349,5
60,True,False,420,9
61,False,True,335,5
62,True,False,461,9
63,True,False,433,9
