environment_id,success,fell,steps,reached_risers
0,True,False,499,9
1,True,False,429,9
2,True,False,401,9
3,False,True,311,7
4,True,False,338,9
5,True,False,406,9
6,True,False,422,9
7,False,True,294,8
8,True,False,425,9
9,False,True,264,2
10,True,False,395,9
11,False,True,339,7
12,False,True,214,4
13,False,True,388,8
14,True,False,443,9
15,True,False,391,9
16,True,False,492,9
17,True,False,491,9
18,True,False,444,9
19,True,False,440,9
20,True,False,431,9
21,True,False,452,9
22,True,False,432,9
23,False,True,617,3
24,True,False,348,9
25,True,False,434,9
26,True,False,486,9
27,True,False,434,9
28,True,False,446,9
29,False,True,337,5
30,True,False,428,9
31,True,False,498,9
32,True,False,439,9
33,False,True,304,7
34,True,False,491,9
35,True,False,440,9
36,False,True,351,7
37,False,True,384,7
38,True,False,439,9
39,True,False,525,9
40,False,True,214,4
41,True,False,501,9
42,True,False,380,9
43,False,True,179,1
44,True,False,433,9
45,True,False,433,9
46,True,False,376,9
47,True,False,396,9
48,False,True,530,9
49,True,False,342,9
50,True,False,435,9
51,True,False,397,9
52,True,False,368,9
53,False,True,508,5
54,False,True,175,1
55,True,False,395,9
56,True,False,538,9
57,True,False,462,9
58,True,False,408,9
59,True,False,489,9
60,True,False,412,9
61,False,True,218,4
62,False,True,446,9
63,True,False,443,9
