environment_id,filter_on_success,filter_off_success,filter_rescued,filter_on_fell,filter_off_fell,filter_on_steps,filter_off_steps
0,False,True,False,True,False,353,436
1,True,True,False,False,False,465,421
2,True,False,True,False,True,356,777
3,True,True,False,False,False,402,410
4,False,True,False,True,False,296,431
5,False,False,False,True,True,329,145
6,False,True,False,True,False,324,381
7,True,False,True,False,True,427,138
8,True,True,False,False,False,487,405
9,True,False,True,False,True,434,415
10,True,True,False,False,False,345,406
11,True,True,False,False,False,467,425
12,True,True,False,False,False,449,466
13,True,False,True,False,True,515,359
14,True,True,False,False,False,465,670
15,True,True,False,False,False,532,661
16,True,True,False,False,False,430,387
17,True,True,False,False,False,345,416
18,True,True,False,False,False,580,521
19,True,True,False,False,False,473,403
20,False,True,False,True,False,204,415
21,False,True,False,True,False,130,473
22,True,True,False,False,False,459,437
23,True,False,True,False,True,471,347
24,False,True,False,True,False,444,512
25,True,True,False,False,False,348,431
26,True,True,False,False,False,525,431
27,True,True,False,False,False,402,470
28,True,True,False,False,False,385,552
29,True,True,False,False,False,424,427
30,True,True,False,False,False,503,430
31,False,False,False,True,True,207,456
