environment_id,filter_on_success,filter_off_success,filter_rescued,filter_on_fell,filter_off_fell,filter_on_steps,filter_off_steps
0,False,True,False,True,False,296,458
1,False,True,False,True,False,352,399
2,True,False,True,False,True,356,791
3,True,False,True,False,True,495,381
4,True,True,False,False,False,487,433
5,False,False,False,True,True,320,145
6,True,True,False,False,False,644,378
7,True,False,True,False,True,433,138
8,False,True,False,True,False,413,450
9,False,True,False,True,False,283,402
10,True,True,False,False,False,345,431
11,True,True,False,False,False,427,466
12,True,True,False,False,False,474,418
13,True,False,True,False,True,466,334
14,True,True,False,False,False,423,464
15,False,False,False,True,True,356,631
16,True,True,False,False,False,402,386
17,True,False,True,False,True,444,413
18,True,True,False,False,False,546,486
19,False,True,False,True,False,475,402
20,False,True,False,True,False,396,413
21,False,False,False,True,True,130,445
22,True,True,False,False,False,458,425
23,True,False,True,False,True,395,410
24,True,True,False,False,False,439,508
25,True,True,False,False,False,346,423
26,True,True,False,False,False,404,382
27,True,True,False,False,False,431,463
28,True,True,False,False,False,387,507
29,True,False,True,False,True,489,335
30,True,True,False,False,False,482,461
31,False,False,False,True,True,207,205
