context,training_seed,round,teacher_arm,elapsed_seconds,rollout_success_rate,rollout_fall_rate,rollout_mean_reached_riser,cbf_intervention_fraction,mean_cbf_correction_norm,moving_forward_kl
F1,201350101,1,A2,30.238491064985283,0.7615384615384615,0.23846153846153847,8.392307692307693,0.116363525390625,0.5833302140235901,0.002306148875504732
F1,201350101,2,A2,26.846854774048552,0.6518518518518519,0.34814814814814815,7.970370370370371,0.1225738525390625,0.6099436283111572,0.0010197021765634418
F1,201350101,3,A2,20.177932750084437,0.7209302325581395,0.27906976744186046,8.085271317829458,0.1241912841796875,0.603191077709198,0.0005981265567243099
F1,201350101,4,A2,28.052235753973946,0.6692913385826772,0.33070866141732286,8.078740157480315,0.12066650390625,0.5904624462127686,0.0006202736403793097
F1,201350101,5,A1,20.717359756003134,0.6923076923076923,0.3076923076923077,8.046153846153846,0.1216888427734375,0.6194023489952087,0.2181379199028015
F1,201350101,6,A1,23.51452240999788,0.7196969696969697,0.2803030303030303,8.083333333333334,0.1136322021484375,0.6101040244102478,0.5698498487472534
F1,201350101,7,A1,29.590604846016504,0.7890625,0.2109375,8.328125,0.108001708984375,0.5657371878623962,0.6684948801994324
F1,201350101,8,A1,29.171294633997604,0.7538461538461538,0.24615384615384617,8.115384615384615,0.1016387939453125,0.5531023144721985,0.6729173064231873
F2,201350102,1,A2,27.20951778604649,0.6640625,0.3359375,8.1015625,0.12762451171875,0.612605094909668,0.002364668995141983
F2,201350102,2,A2,28.95734576904215,0.6541353383458647,0.3458646616541353,7.834586466165414,0.1330718994140625,0.6597434878349304,0.0008952178759500384
F2,201350102,3,A2,28.170946359983645,0.7086614173228346,0.29133858267716534,8.31496062992126,0.125823974609375,0.6011557579040527,0.000578928564209491
F2,201350102,4,A2,28.50807498092763,0.6666666666666666,0.3333333333333333,7.863636363636363,0.1295166015625,0.6284785270690918,0.000629264919552952
F2,201350102,5,A1,28.97197563201189,0.6296296296296297,0.37037037037037035,7.762962962962963,0.1290740966796875,0.6605912446975708,0.22139903903007507
F2,201350102,6,A1,29.373973520938307,0.6240601503759399,0.37593984962406013,7.902255639097745,0.1224822998046875,0.5971488952636719,0.5941711068153381
F2,201350102,7,A1,28.298278147005476,0.6124031007751938,0.3875968992248062,8.131782945736434,0.1202392578125,0.6192370653152466,0.6910479664802551
F2,201350102,8,A1,28.785084952018224,0.6417910447761194,0.3582089552238806,7.873134328358209,0.1143951416015625,0.5703564882278442,0.7107006907463074
F3,201350103,1,A2,29.345994808943942,0.5267857142857143,0.4732142857142857,8.946428571428571,0.12860107421875,0.6299379467964172,0.0021773341577500105
F3,201350103,2,A2,28.290534973028116,0.5625,0.4375,9.267857142857142,0.12799072265625,0.6143852472305298,0.0007760985754430294
F3,201350103,3,A2,28.385999995982274,0.6203703703703703,0.37962962962962965,9.583333333333334,0.1264495849609375,0.6106336712837219,0.0007255313685163856
F3,201350103,4,A2,28.341434139059857,0.6509433962264151,0.3490566037735849,9.735849056603774,0.1233673095703125,0.600601851940155,0.0006454645190387964
F3,201350103,5,A1,28.717857334995642,0.6057692307692307,0.3942307692307692,9.278846153846153,0.1246185302734375,0.6291763186454773,0.1918932944536209
F3,201350103,6,A1,28.337172241997905,0.5175438596491229,0.4824561403508772,9.31578947368421,0.125030517578125,0.6324874758720398,0.5657722353935242
F3,201350103,7,A1,28.301097110961564,0.5603448275862069,0.4396551724137931,9.094827586206897,0.120269775390625,0.6005067825317383,0.6690121293067932
F3,201350103,8,A1,28.52690739603713,0.6551724137931034,0.3448275862068966,9.663793103448276,0.1079864501953125,0.5725551843643188,0.6900118589401245

