environment_id,success,fell,steps,reached_risers
0,True,False,430,9
1,True,False,466,9
2,False,True,382,7
3,False,True,411,9
4,True,False,476,9
5,True,False,448,9
6,True,False,589,9
7,True,False,387,9
8,True,False,517,9
9,True,False,430,9
10,False,True,349,7
11,False,True,533,9
12,False,True,380,7
13,True,False,405,9
14,True,False,408,9
15,False,True,442,9
16,False,True,379,5
17,True,False,402,9
18,False,True,534,8
19,True,False,445,9
20,True,False,478,9
21,True,False,422,9
22,True,False,440,9
23,True,False,441,9
24,True,False,439,9
25,True,False,461,9
26,True,False,499,9
27,True,False,423,9
28,True,False,391,9
29,True,False,471,9
30,False,True,375,6
31,False,True,173,1
32,True,False,489,9
33,False,True,612,9
34,True,False,528,9
35,False,True,172,2
36,True,False,426,9
37,True,False,422,9
38,True,False,446,9
39,False,True,507,9
40,True,False,406,9
41,True,False,373,9
42,False,True,475,9
43,True,False,385,9
44,False,True,382,9
45,True,False,507,9
46,True,False,427,9
47,True,False,581,9
48,False,True,329,8
49,True,False,515,9
50,False,True,460,7
51,True,False,430,9
52,False,True,412,9
53,False,True,331,7
54,True,False,412,9
55,True,False,448,9
56,False,True,391,9
57,False,True,418,9
58,False,True,442,8
59,False,True,233,3
60,True,False,434,9
61,False,True,291,3
62,True,False,464,9
63,True,False,473,9
