environment_id,success,fell,steps,reached_risers
0,False,True,343,3
1,True,False,433,9
2,True,False,448,9
3,True,False,408,9
4,False,True,186,2
5,True,False,486,9
6,True,False,445,9
7,True,False,407,9
8,False,True,274,5
9,True,False,432,9
10,True,False,463,9
11,True,False,453,9
12,False,True,209,1
13,True,False,386,9
14,False,True,804,1
15,False,True,469,8
16,True,False,442,9
17,False,True,303,8
18,True,False,680,9
19,False,True,265,2
20,True,False,424,9
21,True,False,444,9
22,True,False,448,9
23,True,False,407,9
24,False,True,383,7
25,True,False,478,9
26,True,False,394,9
27,True,False,593,9
28,True,False,467,9
29,True,False,419,9
30,True,False,445,9
31,False,True,437,9
32,True,False,425,9
33,True,False,426,9
34,True,False,496,9
35,True,False,419,9
36,True,False,372,9
37,True,False,466,9
38,True,False,474,9
39,True,False,425,9
40,True,False,376,9
41,True,False,378,9
42,False,True,441,9
43,True,False,371,9
44,True,False,436,9
45,False,True,410,9
46,True,False,440,9
47,True,False,419,9
48,False,True,279,5
49,True,False,462,9
50,True,False,418,9
51,True,False,442,9
52,True,False,407,9
53,False,True,394,4
54,True,False,580,9
55,False,True,300,5
56,True,False,403,9
57,True,False,434,9
58,True,False,468,9
59,True,False,439,9
60,True,False,436,9
61,False,True,385,9
62,False,True,356,6
63,True,False,338,9
