delay_steps,context,arm,training_seed,success_rate,fall_rate,mean_reached_riser,nominal_violation_steps_per_riser,would_intervene_fraction,toe_riser_kick_episode_rate
1,F1,frozen,,0.43359375,0.56640625,6.828125,5.4576659038901605,0.13472202674173117,0.94921875
1,F2,frozen,,0.375,0.625,6.53125,5.561602870813397,0.1369487047772804,0.90625
1,F3,frozen,,0.3125,0.6875,7.8984375,5.316023738872404,0.14258364361350973,0.953125
1,F1,dual_safe_ft,201357000,0.43359375,0.5625,6.65625,5.675469483568075,0.1360890346635269,0.92578125
1,F1,dual_safe_ft,201357001,0.41796875,0.58203125,6.8515625,5.520524515393387,0.13581747561963842,0.94140625
1,F1,dual_safe_ft,201357002,0.43359375,0.56640625,6.79296875,5.426682001150087,0.13526645992025496,0.93359375
1,F2,dual_safe_ft,201357000,0.40234375,0.59765625,6.6875,5.738317757009346,0.14193065961087703,0.93359375
1,F2,dual_safe_ft,201357001,0.39453125,0.60546875,6.43359375,5.784456587735276,0.14011805891227608,0.921875
1,F2,dual_safe_ft,201357002,0.35546875,0.64453125,6.50390625,5.682282282282283,0.1388097013288891,0.93359375
1,F3,dual_safe_ft,201357000,0.35546875,0.64453125,7.91015625,5.363456790123457,0.14213231074242186,0.93359375
1,F3,dual_safe_ft,201357001,0.3046875,0.6953125,7.68359375,5.5449923741738685,0.14509980409805687,0.95703125
1,F3,dual_safe_ft,201357002,0.3046875,0.6953125,7.6484375,5.489785495403473,0.14429117544844547,0.94140625
1,F1,filter_only_ft,201357000,0.4375,0.5625,6.6953125,5.35705950991832,0.13299575867739982,0.93359375
1,F1,filter_only_ft,201357001,0.46875,0.53125,6.94921875,5.49522203485104,0.13457210298073227,0.9375
1,F1,filter_only_ft,201357002,0.45703125,0.54296875,6.8828125,5.416572077185017,0.13292044491966729,0.94921875
1,F2,filter_only_ft,201357000,0.33984375,0.66015625,6.578125,5.806413301662708,0.14412761773381663,0.93359375
1,F2,filter_only_ft,201357001,0.359375,0.640625,6.390625,5.77200488997555,0.13860590204189016,0.921875
1,F2,filter_only_ft,201357002,0.41796875,0.58203125,6.5234375,5.8508982035928145,0.1421552286397565,0.9140625
1,F3,filter_only_ft,201357000,0.26953125,0.73046875,7.57421875,5.592057761732852,0.14822274236568506,0.94921875
1,F3,filter_only_ft,201357001,0.2890625,0.7109375,7.7421875,5.432391523713421,0.1438645041976557,0.9453125
1,F3,filter_only_ft,201357002,0.359375,0.63671875,7.828125,5.774451097804391,0.14665167858135247,0.953125
2,F1,frozen,,0.0,1.0,2.26953125,9.165232358003442,0.16693035520397084,0.75390625
2,F2,frozen,,0.0,1.0,2.17578125,9.664272890484739,0.17068808634809074,0.7109375
2,F3,frozen,,0.0,1.0,2.234375,9.143356643356643,0.16281218242847906,0.7578125
2,F1,dual_safe_ft,201357000,0.0,1.0,2.30078125,9.054329371816639,0.16607534014130132,0.796875
2,F1,dual_safe_ft,201357001,0.0,1.0,2.25,9.026041666666666,0.16373102222776445,0.76953125
2,F1,dual_safe_ft,201357002,0.0,1.0,2.25,9.234375,0.1665943600867679,0.765625
2,F2,dual_safe_ft,201357000,0.0,1.0,2.19140625,9.490196078431373,0.16956164729661446,0.73828125
2,F2,dual_safe_ft,201357001,0.0,1.0,2.23046875,9.518388791593695,0.17232072807155185,0.7421875
2,F2,dual_safe_ft,201357002,0.0,1.0,2.1875,9.6375,0.170735524256651,0.734375
2,F3,dual_safe_ft,201357000,0.0,1.0,2.23046875,9.124343257443082,0.16238920287840886,0.73046875
2,F3,dual_safe_ft,201357001,0.0,1.0,2.2421875,8.954703832752614,0.1592754911275246,0.74609375
2,F3,dual_safe_ft,201357002,0.0,1.0,2.30859375,9.023688663282572,0.16500397821164087,0.76171875
2,F1,filter_only_ft,201357000,0.0,1.0,2.29296875,8.976149914821125,0.164086114366788,0.73828125
2,F1,filter_only_ft,201357001,0.0,1.0,2.265625,9.196551724137931,0.1658252785815428,0.76171875
2,F1,filter_only_ft,201357002,0.0,1.0,2.2578125,9.493079584775087,0.16974769306232565,0.71875
2,F2,filter_only_ft,201357000,0.0,1.0,2.2109375,9.284452296819788,0.1679790026246719,0.76171875
2,F2,filter_only_ft,201357001,0.0,1.0,2.17578125,9.583482944344704,0.17071861581207376,0.73828125
2,F2,filter_only_ft,201357002,0.0,1.0,2.1171875,9.6309963099631,0.16807607620384848,0.734375
2,F3,filter_only_ft,201357000,0.0,1.0,2.3359375,8.675585284280936,0.15954624462537736,0.7265625
2,F3,filter_only_ft,201357001,0.0,1.0,2.3203125,8.745791245791246,0.1618082090472082,0.77734375
2,F3,filter_only_ft,201357002,0.0,1.0,2.23828125,9.137870855148343,0.16250345653977324,0.73046875
