arm,context,training_seed,training_falls,training_shield_recoveries,training_safety_transition_count,training_nominal_violation_count,training_executed_violation_count,training_minimum_nominal_barrier_margin,training_minimum_executed_barrier_margin,training_nominal_violation_fraction,training_executed_violation_fraction
nominal_ft,F1,201357000,248,0,524288,49259,49259,-55.18677520751953,-55.18677520751953,0.09395408630371094,0.09395408630371094
nominal_ft,F1,201357001,260,0,524288,49067,49067,-41.76953887939453,-41.76953887939453,0.09358787536621094,0.09358787536621094
nominal_ft,F1,201357002,302,0,524288,50192,50192,-72.39727783203125,-72.39727783203125,0.095733642578125,0.095733642578125
nominal_ft,F2,201357000,331,0,524288,53864,53864,-76.95234680175781,-76.95234680175781,0.1027374267578125,0.1027374267578125
nominal_ft,F2,201357001,365,0,524288,53982,53982,-56.69963836669922,-56.69963836669922,0.10296249389648438,0.10296249389648438
nominal_ft,F2,201357002,353,0,524288,53454,53454,-60.50666427612305,-60.50666427612305,0.10195541381835938,0.10195541381835938
nominal_ft,F3,201357000,363,0,524288,51203,51203,-58.60695266723633,-58.60695266723633,0.09766197204589844,0.09766197204589844
nominal_ft,F3,201357001,324,0,524288,51307,51307,-59.52028274536133,-59.52028274536133,0.09786033630371094,0.09786033630371094
nominal_ft,F3,201357002,336,0,524288,51620,51620,-51.888832092285156,-51.888832092285156,0.09845733642578125,0.09845733642578125
reward_only_ft,F1,201357000,281,0,524288,49013,49013,-41.054718017578125,-41.054718017578125,0.09348487854003906,0.09348487854003906
reward_only_ft,F1,201357001,288,0,524288,50344,50344,-41.8895263671875,-41.8895263671875,0.0960235595703125,0.0960235595703125
reward_only_ft,F1,201357002,264,0,524288,49915,49915,-42.739192962646484,-42.739192962646484,0.09520530700683594,0.09520530700683594
reward_only_ft,F2,201357000,350,0,524288,55131,55131,-126.80223083496094,-126.80223083496094,0.10515403747558594,0.10515403747558594
reward_only_ft,F2,201357001,333,0,524288,53716,53716,-45.90858459472656,-45.90858459472656,0.10245513916015625,0.10245513916015625
reward_only_ft,F2,201357002,362,0,524288,54144,54144,-1326.117919921875,-1326.117919921875,0.103271484375,0.103271484375
reward_only_ft,F3,201357000,332,0,524288,50135,50135,-43.13506317138672,-43.13506317138672,0.09562492370605469,0.09562492370605469
reward_only_ft,F3,201357001,343,0,524288,51302,51302,-55.50580596923828,-55.50580596923828,0.09785079956054688,0.09785079956054688
reward_only_ft,F3,201357002,345,0,524288,52068,52068,-48.5550537109375,-48.5550537109375,0.09931182861328125,0.09931182861328125
filter_only_ft,F1,201357000,248,47510,524288,47517,7,-129.75808715820312,-1.436471939086914e-05,0.09063148498535156,1.33514404296875e-05
filter_only_ft,F1,201357001,246,47994,524288,48003,9,-131.26292419433594,-1.947954297065735e-05,0.09155845642089844,1.71661376953125e-05
filter_only_ft,F1,201357002,251,48448,524288,48454,6,-124.4974136352539,-1.3872981071472168e-05,0.09241867065429688,1.1444091796875e-05
filter_only_ft,F2,201357000,286,50895,524288,50896,1,-98.85922241210938,-1.1026859283447266e-05,0.097076416015625,1.9073486328125e-06
filter_only_ft,F2,201357001,316,51505,524288,51508,3,-101.9140625,-1.52587890625e-05,0.09824371337890625,5.7220458984375e-06
filter_only_ft,F2,201357002,305,51066,524288,51074,8,-123.52371978759766,-1.582503318786621e-05,0.09741592407226562,1.52587890625e-05
filter_only_ft,F3,201357000,314,50172,524288,50179,7,-142.13119506835938,-1.8075108528137207e-05,0.09570884704589844,1.33514404296875e-05
filter_only_ft,F3,201357001,305,50199,524288,50209,10,-118.33903503417969,-1.7076730728149414e-05,0.09576606750488281,1.9073486328125e-05
filter_only_ft,F3,201357002,280,49151,524288,49159,8,-140.71768188476562,-1.52587890625e-05,0.09376335144042969,1.52587890625e-05
dual_safe_ft,F1,201357000,266,48581,524288,48584,3,-103.72944641113281,-1.3276934623718262e-05,0.0926666259765625,5.7220458984375e-06
dual_safe_ft,F1,201357001,246,48024,524288,48025,1,-113.24590301513672,-1.0609626770019531e-05,0.09160041809082031,1.9073486328125e-06
dual_safe_ft,F1,201357002,261,47806,524288,47810,4,-142.83351135253906,-1.5020370483398438e-05,0.09119033813476562,7.62939453125e-06
dual_safe_ft,F2,201357000,325,51955,524288,51968,13,-124.81607055664062,-1.811981201171875e-05,0.09912109375,2.47955322265625e-05
dual_safe_ft,F2,201357001,310,51408,524288,51415,7,-144.43246459960938,-2.311915159225464e-05,0.09806632995605469,1.33514404296875e-05
dual_safe_ft,F2,201357002,322,51929,524288,51935,6,-119.65751647949219,-1.6570091247558594e-05,0.09905815124511719,1.1444091796875e-05
dual_safe_ft,F3,201357000,287,49195,524288,49199,4,-110.84314727783203,-1.1086463928222656e-05,0.09383964538574219,7.62939453125e-06
dual_safe_ft,F3,201357001,272,49188,524288,49192,4,-85.73583221435547,-1.3947486877441406e-05,0.0938262939453125,7.62939453125e-06
dual_safe_ft,F3,201357002,304,49499,524288,49501,2,-119.3394546508789,-1.1444091796875e-05,0.09441566467285156,3.814697265625e-06
