domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_failure_type,final_failure_type,baseline_return,final_return,baseline_max_riser,final_max_riser,baseline_mean_slip_signal,final_mean_slip_signal,baseline_maximum_left_contact_slip_speed,final_maximum_left_contact_slip_speed,baseline_maximum_right_contact_slip_speed,final_maximum_right_contact_slip_speed,baseline_mean_contact_mismatch,final_mean_contact_mismatch,baseline_intervention_per_riser,final_intervention_per_riser,baseline_mean_correction_norm,final_mean_correction_norm,baseline_recovery_takeover,final_recovery_takeover
target,0,135000000,0,True,True,False,False,False,False,success,success,11.044258117675781,9.80888557434082,9,9,0.07086613029241562,0.08829737454652786,2.0,2.0,2.0,2.0,0.1428571492433548,0.14457830786705017,0.5555555820465088,1.3333333730697632,0.00043676758650690317,0.001953950384631753,True,True
target,1,135000000,1,False,False,True,True,False,False,contact_stability,lateral_heading_drift,-2.19291353225708,-5.833269119262695,4,6,0.10975462943315506,0.12336696684360504,2.0,2.0,2.0,1.7092992067337036,0.17253521084785461,0.19555556774139404,1.75,2.1666667461395264,0.0025324984453618526,0.006300756707787514,False,False
target,2,135000000,2,True,True,False,False,False,False,success,success,7.6026811599731445,8.773910522460938,9,9,0.10078035295009613,0.0854315459728241,2.0,1.6664161682128906,2.0,2.0,0.15596330165863037,0.14037854969501495,0.5555555820465088,0.5555555820465088,0.0007550068548880517,0.0006108396919444203,True,True
target,3,135000000,3,False,True,True,False,False,False,contact_stability,success,-1.5563428401947021,9.728044509887695,9,9,0.1048196479678154,0.08489096164703369,2.0,1.7473284006118774,2.0,2.0,0.15944881737232208,0.125,0.4444444477558136,0.4444444477558136,0.00020310257968958467,0.0008359234780073166,False,True
target,4,135000000,4,False,False,True,True,False,False,contact_stability,lateral_heading_drift,-2.6590304374694824,-1.002359390258789,9,7,0.1224050521850586,0.09091059118509293,2.0,1.361444354057312,2.0,2.0,0.18473894894123077,0.19624216854572296,1.3333333730697632,2.0,0.0025512324646115303,0.003054604632779956,False,False
target,5,135000000,5,False,True,True,False,False,False,contact_stability,success,-4.789869785308838,5.913635730743408,7,9,0.11266857385635376,0.10964761674404144,2.0,2.0,2.0,1.864335060119629,0.19117647409439087,0.15153631567955017,1.1428571939468384,2.8888888359069824,0.0009174775914289057,0.002049610484391451,False,True
target,6,135000000,6,True,True,False,False,False,False,success,success,8.281157493591309,6.968908309936523,9,9,0.08730822801589966,0.09584743529558182,1.9118541479110718,1.8802865743637085,2.0,2.0,0.13684210181236267,0.13879598677158356,0.2222222238779068,0.4444444477558136,0.00014087326417211443,0.00038143229903653264,True,True
target,7,135000000,7,True,True,False,False,False,False,success,success,9.818903923034668,9.085165023803711,9,9,0.07911818474531174,0.07876811921596527,2.0,1.2925996780395508,2.0,2.0,0.13983739912509918,0.1545138955116272,2.1111111640930176,0.7777777910232544,0.0020744027569890022,0.0007318612770177424,True,True
target,8,135000000,8,True,True,False,False,False,False,success,success,8.389555931091309,8.601916313171387,9,9,0.09372930973768234,0.09117285162210464,2.0,2.0,1.6574612855911255,1.50624418258667,0.14867424964904785,0.14041095972061157,0.8888888955116272,0.6666666865348816,0.0009874613024294376,0.000609438109677285,True,True
target,9,135000000,9,False,True,True,False,False,False,contact_stability,success,-2.6255483627319336,9.950904846191406,2,9,0.12752342224121094,0.08448109775781631,2.0,1.4368131160736084,1.2182106971740723,1.9460456371307373,0.20689654350280762,0.1413223147392273,4.5,1.6666666269302368,0.0038053197786211967,0.0021835409570485353,False,True
target,10,135000000,10,False,True,True,False,False,False,contact_stability,success,-2.8518285751342773,8.808845520019531,9,9,0.11023026704788208,0.09507958590984344,1.866939663887024,1.8357467651367188,2.0,2.0,0.1527777761220932,0.13298791646957397,1.2222222089767456,0.6666666865348816,0.0010547545971348882,0.002101047895848751,False,True
target,11,135000000,11,False,True,True,False,False,False,contact_stability,success,-4.409037113189697,5.845700740814209,8,9,0.0880722776055336,0.11242011934518814,1.6718034744262695,2.0,1.390925645828247,2.0,0.17171718180179596,0.17059890925884247,3.625,1.6666666269302368,0.012926961295306683,0.0015665640821680427,False,True
target,12,135000000,12,True,True,False,False,False,False,success,success,9.362020492553711,10.530248641967773,9,9,0.08475280553102493,0.0779431089758873,1.752182126045227,2.0,2.0,2.0,0.14208632707595825,0.13597245514392853,0.7777777910232544,0.7777777910232544,0.0006324847927317023,0.0008914796053431928,True,True
