specialist,adaptation_seed,round,fraction,screen_seed,screen_episodes,old_success,candidate_success,screen_success_delta,old_fall,candidate_fall,screen_fall_delta,mean_kl,screen_eligible,screen_best,confirmation_seed,confirmation_success_delta,confirmation_fall_delta,target_gate_accepted,d0_rollback,retained
lateral,73,1,0.5,20073,64,0.671875,0.640625,-0.03125,0.328125,0.359375,0.03125,8.375078323297203e-05,True,False,30073,0.0546875,-0.0546875,True,False,False
lateral,73,1,1.0,20073,64,0.671875,0.703125,0.03125,0.328125,0.296875,-0.03125,0.00033500674180686474,True,True,30073,0.0546875,-0.0546875,True,False,True
lateral,73,1,1.5,20073,64,0.671875,0.65625,-0.015625,0.328125,0.34375,0.015625,0.000753756845369935,True,False,30073,0.0546875,-0.0546875,True,False,False
lateral,73,2,0.5,40073,64,0.609375,0.65625,0.046875,0.390625,0.34375,-0.046875,7.148429722292349e-05,True,False,50073,-0.015625,0.015625,False,False,False
lateral,73,2,1.0,40073,64,0.609375,0.65625,0.046875,0.390625,0.34375,-0.046875,0.00028595785261131823,True,False,50073,-0.015625,0.015625,False,False,False
lateral,73,2,1.5,40073,64,0.609375,0.71875,0.109375,0.390625,0.28125,-0.109375,0.0006434186361730099,True,True,50073,-0.015625,0.015625,False,False,False
lateral,73,3,0.5,60073,64,0.6875,0.671875,-0.015625,0.3125,0.328125,0.015625,8.967806934379041e-05,True,False,70073,0.0625,-0.0546875,True,False,False
lateral,73,3,1.0,60073,64,0.6875,0.734375,0.046875,0.3125,0.265625,-0.046875,0.0003587102983146906,True,False,70073,0.0625,-0.0546875,True,False,False
lateral,73,3,1.5,60073,64,0.6875,0.765625,0.078125,0.3125,0.234375,-0.078125,0.000807072501629591,True,True,70073,0.0625,-0.0546875,True,False,True
lateral,73,4,0.5,80073,64,0.796875,0.796875,0.0,0.203125,0.203125,0.0,8.001059177331626e-05,True,True,90073,-0.015625,0.015625,False,False,False
lateral,73,4,1.0,80073,64,0.796875,0.78125,-0.015625,0.203125,0.21875,0.015625,0.0003200399805791676,True,False,90073,-0.015625,0.015625,False,False,False
lateral,73,4,1.5,80073,64,0.796875,0.75,-0.046875,0.203125,0.25,0.046875,0.0007200664840638638,True,False,90073,-0.015625,0.015625,False,False,False
lateral,73,5,0.5,100073,64,0.78125,0.6875,-0.09375,0.21875,0.3125,0.09375,8.66751215653494e-05,True,False,110073,-0.03125,0.03125,False,False,False
lateral,73,5,1.0,100073,64,0.78125,0.71875,-0.0625,0.21875,0.28125,0.0625,0.00034673124901019037,True,False,110073,-0.03125,0.03125,False,False,False
lateral,73,5,1.5,100073,64,0.78125,0.75,-0.03125,0.21875,0.25,0.03125,0.0007801595493219793,True,True,110073,-0.03125,0.03125,False,False,False
lateral,73,6,0.5,120073,64,0.8125,0.671875,-0.140625,0.1875,0.328125,0.140625,6.761773693142459e-05,True,False,130073,-0.0703125,0.0703125,False,False,False
lateral,73,6,1.0,120073,64,0.8125,0.734375,-0.078125,0.1875,0.265625,0.078125,0.0002704687649384141,True,True,130073,-0.0703125,0.0703125,False,False,False
lateral,73,6,1.5,120073,64,0.8125,0.71875,-0.09375,0.1875,0.28125,0.09375,0.0006085578352212906,True,False,130073,-0.0703125,0.0703125,False,False,False
lateral,73,7,0.5,140073,64,0.703125,0.671875,-0.03125,0.296875,0.328125,0.03125,8.370092837139964e-05,True,False,150073,0.0078125,-0.0078125,True,False,False
