specialist,adaptation_seed,round,batch,rollout_seed,normal_start_count,failure_start_count,success_start_count,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,exact_match_passed,maximum_marginal_imbalance,bank_transaction_attempted,bank_transaction_committed,bank_transaction_restored,usable_preflight_passed,cbf_intervention_fraction,cbf_correction_mean
lateral,73,1,1,1000083,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0597686767578125,0.01774262823164463
lateral,73,1,2,1000084,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.05535888671875,0.015488073229789734
lateral,73,2,1,1000093,40,12,12,256,1024,218,12,True,0,True,True,False,True,0.051605224609375,0.013325333595275879
lateral,73,2,2,1000094,40,12,12,256,1024,241,12,True,0,True,True,False,True,0.0501556396484375,0.012942705303430557
lateral,73,3,1,1000103,40,12,12,256,1024,240,12,True,0,True,True,False,True,0.0490875244140625,0.0133905578404665
lateral,73,3,2,1000104,40,12,12,256,1024,241,12,True,0,True,True,False,True,0.0469818115234375,0.01122401561588049
lateral,73,4,1,1000113,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.0520477294921875,0.01488347165286541
lateral,73,4,2,1000114,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0477752685546875,0.012698025442659855
lateral,73,5,1,1000123,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0521392822265625,0.014051665551960468
lateral,73,5,2,1000124,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0501861572265625,0.011452792212367058
lateral,73,6,1,1000133,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0503692626953125,0.01290050707757473
lateral,73,6,2,1000134,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0534515380859375,0.014341974630951881
lateral,73,7,1,1000143,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0510711669921875,0.012626230716705322
lateral,73,7,2,1000144,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.048583984375,0.011480636894702911
lateral,73,8,1,1000153,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0507965087890625,0.01298182550817728
lateral,73,8,2,1000154,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.053436279296875,0.014471766538918018
lateral,173,1,1,1000183,40,12,12,256,1024,238,12,True,0,True,True,False,True,0.05126953125,0.0134001849219203
lateral,173,1,2,1000184,40,12,12,256,1024,215,12,True,0,True,True,False,True,0.0515289306640625,0.012949729338288307
lateral,173,2,1,1000193,40,12,12,256,1024,222,12,True,0,True,True,False,True,0.052947998046875,0.014241157099604607
lateral,173,2,2,1000194,40,12,12,256,1024,235,12,True,0,True,True,False,True,0.0491180419921875,0.012142548337578773
lateral,173,3,1,1000203,40,12,12,256,1024,237,12,True,0,True,True,False,True,0.049346923828125,0.012903914786875248
lateral,173,3,2,1000204,40,12,12,256,1024,237,12,True,0,True,True,False,True,0.0543212890625,0.013461066409945488
lateral,173,4,1,1000213,40,12,12,256,1024,240,12,True,0,True,True,False,True,0.0511474609375,0.013299970887601376
lateral,173,4,2,1000214,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.0546112060546875,0.014833454042673111
lateral,173,5,1,1000223,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.05181884765625,0.01287344191223383
lateral,173,5,2,1000224,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.05517578125,0.015269363299012184
lateral,173,6,1,1000233,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.0463714599609375,0.01013990119099617
lateral,173,6,2,1000234,40,12,12,256,1024,233,12,True,0,True,True,False,True,0.0497894287109375,0.011666154488921165
lateral,173,7,1,1000243,40,12,12,256,1024,232,12,True,0,True,True,False,True,0.0498809814453125,0.012987117283046246
lateral,173,7,2,1000244,40,12,12,256,1024,232,12,True,0,True,True,False,True,0.0515289306640625,0.012924895621836185
lateral,173,8,1,1000253,40,12,12,256,1024,232,12,True,0,True,True,False,True,0.04974365234375,0.01283441111445427
lateral,173,8,2,1000254,40,12,12,256,1024,233,12,True,0,True,True,False,True,0.0504302978515625,0.013308608904480934
lateral,273,1,1,1000283,40,12,12,256,1024,239,12,True,0,True,True,False,True,0.0548248291015625,0.015210652723908424
lateral,273,1,2,1000284,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.0514984130859375,0.014153392985463142
lateral,273,2,1,1000293,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0502166748046875,0.012921863235533237
lateral,273,2,2,1000294,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0537567138671875,0.014612909406423569
lateral,273,3,1,1000303,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.05615234375,0.014991545118391514
lateral,273,3,2,1000304,40,12,12,256,1024,241,12,True,0,True,True,False,True,0.051971435546875,0.013360155746340752
lateral,273,4,1,1000313,40,12,12,256,1024,242,12,True,0,True,True,False,True,0.05450439453125,0.01474799495190382
lateral,273,4,2,1000314,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0582275390625,0.0157555490732193
lateral,273,5,1,1000323,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0517425537109375,0.01377400103956461
lateral,273,5,2,1000324,40,12,12,256,1024,247,12,True,0,True,True,False,True,0.0510711669921875,0.011968636885285378
lateral,273,6,1,1000333,40,12,12,256,1024,247,12,True,0,True,True,False,True,0.0525054931640625,0.01409023255109787
lateral,273,6,2,1000334,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0548095703125,0.014453408308327198
lateral,273,7,1,1000343,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0554962158203125,0.014710001647472382
lateral,273,7,2,1000344,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.051422119140625,0.012545431032776833
lateral,273,8,1,1000353,40,12,12,256,1024,248,12,True,0,True,True,False,True,0.0570220947265625,0.015573203563690186
lateral,273,8,2,1000354,40,12,12,256,1024,248,12,True,0,True,True,False,True,0.054534912109375,0.014970136806368828
lateral,373,1,1,1000383,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0572967529296875,0.015748372301459312
lateral,373,1,2,1000384,40,12,12,256,1024,244,12,True,0,True,True,False,True,0.0540008544921875,0.01640443503856659
