specialist,adaptation_seed,round,baseline_target_success,baseline_target_fall,baseline_target_return,baseline_target_mean_reached_riser,current_target_success,current_target_fall,current_target_return,current_target_mean_reached_riser,accepted_target_success,accepted_target_fall,accepted_target_return,accepted_target_mean_reached_riser,target_diagnostic_seed,target_diagnostic_episodes,screen_delta_fraction_0_5,screen_delta_fraction_1_0,screen_delta_fraction_1_5,screen_best_fraction,confirmation_success_delta,confirmation_fall_delta,selected_candidate_fraction,retained_candidate_fraction,target_gate_accepted,d0_gate_passed,d0_rollback,d0_checked_candidate_success,d0_checked_candidate_fall,policy_changed_at_round_end,cumulative_retained_updates,ppo_policy_loss,ppo_value_loss,ppo_entropy,ppo_mean_kl,ppo_max_preupdate_kl,normal_transition_fraction,failure_transition_fraction,success_transition_fraction,normal_advantage_mean_before,normal_advantage_std_before,normal_advantage_mean_after,normal_advantage_std_after,failure_advantage_mean_before,failure_advantage_std_before,failure_advantage_mean_after,failure_advantage_std_after,success_advantage_mean_before,success_advantage_std_before,success_advantage_mean_after,success_advantage_std_after,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,maximum_marginal_imbalance,bank_transactions_committed,bank_transactions_restored,d0_baseline_success,d0_success,d0_success_delta,d0_fall,cbf_interventions_per_riser,cbf_mean_correction_norm,new_input_column_rms,new_input_column_max_abs,legacy_input_column_max_drift,round_end_actor_sha256
lateral,73,0,0.7265625,0.2734375,0.531598549336195,10.71875,0.7265625,0.2734375,0.531598549336195,10.71875,0.7265625,0.2734375,0.531598549336195,10.71875,300073,128,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90625,0.90625,0.0,0.0,1.054098207037896,0.005161984636515626,0.0,0.0,0.0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb
lateral,73,1,0.7265625,0.2734375,0.531598549336195,10.71875,0.7265625,0.2734375,0.488384997472167,10.53125,0.78125,0.21875,1.0280147958546877,10.625,30073,128,-0.03125,0.03125,-0.015625,1.0,0.0546875,-0.0546875,1.0,1.0,True,True,False,0.9140625,0.0078125,True,1,8.169258944690228e-05,2.450117766857147,-10.033629417419434,0.00033500674180686474,0.00031991340802051127,0.625,0.1875,0.1875,0.24712038040161133,1.7177932262420654,-3.911555079838536e-09,1.0,0.2510458528995514,1.0967285633087158,-5.743156172854924e-09,1.0,0.5449550151824951,1.1522690057754517,-1.4901161193847656e-08,1.0,256,1024,245,12,0,2,0,0.90625,0.9140625,0.0078125,0.0078125,1.141999261220917,0.006195728541229073,9.977819900086615e-06,2.0003046302008443e-05,0.0,9dee6328d43164b50bd2a6801552807b6019db5130222e9d2456fd988f854dab
lateral,73,2,0.7265625,0.2734375,0.531598549336195,10.71875,0.6875,0.3125,-0.1400789264589548,10.296875,0.6875,0.3125,-0.1400789264589548,10.296875,50073,128,0.046875,0.046875,0.109375,1.5,-0.015625,0.015625,,,False,True,False,0.9140625,0.015625,False,1,0.00026779971085488796,1.9233574569225311,-10.033629417419434,0.0002859578235074878,0.00041074008913710713,0.625,0.1875,0.1875,0.29177722334861755,0.680790901184082,-5.87664565898649e-08,0.9999998807907104,0.08257851004600525,2.566229820251465,-1.7074247571358114e-09,0.9999998807907104,0.5174515247344971,1.133923053741455,-2.5184515806131458e-08,1.0,256,1024,241,12,0,2,0,0.90625,0.9140625,0.0078125,0.015625,1.4750831697601825,0.006847823203543157,9.977819900086615e-06,2.0003046302008443e-05,0.0,9dee6328d43164b50bd2a6801552807b6019db5130222e9d2456fd988f854dab
lateral,73,3,0.7265625,0.2734375,0.531598549336195,10.71875,0.7109375,0.28125,-2.089630415663123,10.6171875,0.7734375,0.2265625,0.8338747229427099,10.703125,70073,128,-0.015625,0.046875,0.078125,1.5,0.0625,-0.0546875,1.5,1.5,True,True,False,0.8984375,0.015625,True,2,0.00020096130901947618,1.0002063661813736,-10.033629417419434,0.0003587102983146906,0.0004415311268530786,0.625,0.1875,0.1875,0.3006822466850281,0.6827216148376465,-1.8090942077719774e-08,0.9999999403953552,0.249214768409729,1.2174440622329712,6.984919309616089e-10,0.9999999403953552,0.5126993656158447,1.1708731651306152,1.4280280069556284e-08,1.0,256,1024,241,12,0,2,0,0.90625,0.8984375,-0.0078125,0.015625,1.148060706211254,0.006699539303781421,1.7667389329290017e-05,4.8443169362144545e-05,0.0,4a1d2d16c9e40476b9ce29f64b3983853a7db537e6054a03e4a775cb01dba7f7
lateral,73,4,0.7265625,0.2734375,0.531598549336195,10.71875,0.71875,0.28125,0.23193604685366154,10.4921875,0.71875,0.28125,0.23193604685366154,10.4921875,90073,128,0.0,-0.015625,-0.046875,0.5,-0.015625,0.015625,,,False,True,False,0.890625,0.015625,False,2,0.0003579971962608397,0.9508221596479416,-10.033629417419434,0.0003200399805791676,0.0004522041417658329,0.625,0.1875,0.1875,0.32148826122283936,0.6301319003105164,-1.4971011097486553e-08,1.0,0.26719462871551514,1.068589210510254,-5.3551048040390015e-09,1.0,0.6206303834915161,1.248915672302246,-9.313225746154785e-10,1.0,256,1024,244,12,0,2,0,0.90625,0.890625,-0.015625,0.015625,1.2855824155267328,0.006244166020110242,1.7667389329290017e-05,4.8443169362144545e-05,0.0,4a1d2d16c9e40476b9ce29f64b3983853a7db537e6054a03e4a775cb01dba7f7
lateral,73,5,0.7265625,0.2734375,0.531598549336195,10.71875,0.75,0.25,0.8125830478966236,10.4609375,0.75,0.25,0.8125830478966236,10.4609375,110073,128,-0.09375,-0.0625,-0.03125,1.5,-0.03125,0.03125,,,False,True,False,0.9140625,0.015625,False,2,0.00023030408192425966,0.9954986721277237,-10.033629417419434,0.00034673124901019037,0.0003972667036578059,0.625,0.1875,0.1875,0.3065381646156311,0.6544482111930847,-1.4202669262886047e-08,1.0000001192092896,0.27948999404907227,1.2036008834838867,-2.60770320892334e-08,1.0,0.5516770482063293,1.2074531316757202,-1.8238400789627462e-09,0.9999999403953552,256,1024,245,12,0,2,0,0.90625,0.9140625,0.0078125,0.015625,1.2095624464564025,0.005827146631802338,1.7667389329290017e-05,4.8443169362144545e-05,0.0,4a1d2d16c9e40476b9ce29f64b3983853a7db537e6054a03e4a775cb01dba7f7
lateral,73,6,0.7265625,0.2734375,0.531598549336195,10.71875,0.78125,0.21875,1.247782001271844,10.5625,0.78125,0.21875,1.247782001271844,10.5625,130073,128,-0.140625,-0.078125,-0.09375,1.0,-0.0703125,0.0703125,,,False,True,False,0.8984375,0.0234375,False,2,0.00023757887538522482,1.003837138414383,-10.033629417419434,0.0002704687649384141,0.0004507831472437829,0.625,0.1875,0.1875,0.330613911151886,0.6291759014129639,-3.72063375664311e-08,1.0,0.19008557498455048,1.2024520635604858,-2.6387474427735924e-09,1.0,0.6053863763809204,1.2479320764541626,-3.748573362827301e-08,0.9999999403953552,256,1024,246,12,0,2,0,0.90625,0.8984375,-0.0078125,0.0234375,1.0749473222531378,0.005392605410179385,1.7667389329290017e-05,4.8443169362144545e-05,0.0,4a1d2d16c9e40476b9ce29f64b3983853a7db537e6054a03e4a775cb01dba7f7
lateral,73,7,0.7265625,0.2734375,0.531598549336195,10.71875,0.7109375,0.2890625,0.4765028189867735,10.5859375,0.71875,0.28125,0.31166931986808777,10.53125,150073,128,-0.03125,0.0625,0.03125,1.0,0.0078125,-0.0078125,1.0,1.0,True,True,False,0.9296875,0.015625,True,3,0.00020112330093979836,0.9689399302005768,-10.033629417419434,0.0003348002501297742,0.0004108172724954784,0.625,0.1875,0.1875,0.31790634989738464,0.6420552730560303,-3.683380711549944e-08,1.0,0.2133987843990326,1.189778208732605,-9.468446471316838e-09,1.0,0.6007895469665527,1.1702733039855957,-2.9802322387695312e-08,1.0,256,1024,242,12,0,2,0,0.90625,0.9296875,0.0234375,0.015625,1.2335024625062943,0.007087130633181005,2.0057546862517484e-05,6.178183684824035e-05,0.0,e5a8a6291636905d41b6e5e00aac7484b1d6d97bc8bbd059615d7f8fdb998f7a
lateral,73,8,0.7265625,0.2734375,0.531598549336195,10.71875,0.7421875,0.2578125,0.564562976360321,10.5546875,0.7734375,0.2265625,1.2695618905127048,10.5859375,170073,128,-0.015625,0.015625,0.09375,1.5,0.03125,-0.03125,1.5,1.5,True,True,False,0.90625,0.0234375,True,4,0.000272093981038779,0.9261865615844727,-10.033629417419434,0.0003139167092740536,0.00045334038441069424,0.625,0.1875,0.1875,0.31038790941238403,0.6083604693412781,-1.0430812658057675e-08,1.0,0.30321288108825684,1.170738935470581,6.208817460162663e-09,1.0,0.6162999868392944,1.1502373218536377,1.2029583551509404e-08,1.0,256,1024,244,12,0,2,0,0.90625,0.90625,0.0,0.0234375,1.1167788614984602,0.0051978178334164404,2.6606521714711562e-05,7.375793211394921e-05,0.0,92383e1e34e8eac1c2ddb03411271b3daedb53096dc0afbb3475efb6863d0167
lateral,173,0,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.7578125,0.2421875,0.8978676553815603,10.4140625,0.7578125,0.2421875,0.8978676553815603,10.4140625,300173,128,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.875,0.0,0.03125,1.1511572420131415,0.004706745960480596,0.0,0.0,0.0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb
