specialist,adaptation_seed,round,fraction,screen_seed,screen_episodes,old_success,candidate_success,screen_success_delta,old_fall,candidate_fall,screen_fall_delta,mean_kl,screen_eligible,screen_best,confirmation_seed,confirmation_success_delta,confirmation_fall_delta,target_gate_accepted,d0_rollback,retained
contact_stability,473,1,0.5,20473,64,0.75,0.75,0.0,0.25,0.25,0.0,5.610887092188932e-05,True,True,30473,0.0078125,-0.0078125,True,False,True
contact_stability,473,1,1.0,20473,64,0.75,0.734375,-0.015625,0.25,0.265625,0.015625,0.00022445624927058816,True,False,30473,0.0078125,-0.0078125,True,False,False
contact_stability,473,1,1.5,20473,64,0.75,0.75,0.0,0.25,0.25,0.0,0.0005050491308793426,True,False,30473,0.0078125,-0.0078125,True,False,False
contact_stability,473,2,0.5,40473,64,0.734375,0.625,-0.109375,0.265625,0.375,0.109375,9.394357039127499e-05,True,False,50473,0.0078125,-0.0078125,True,False,False
contact_stability,473,2,1.0,40473,64,0.734375,0.671875,-0.0625,0.265625,0.328125,0.0625,0.0003757825179491192,True,False,50473,0.0078125,-0.0078125,True,False,False
contact_stability,473,2,1.5,40473,64,0.734375,0.6875,-0.046875,0.265625,0.3125,0.046875,0.0008454958442598581,True,True,50473,0.0078125,-0.0078125,True,False,True
contact_stability,473,3,0.5,60473,64,0.75,0.703125,-0.046875,0.25,0.296875,0.046875,7.418025052174926e-05,True,False,70473,-0.03125,0.03125,False,False,False
contact_stability,473,3,1.0,60473,64,0.75,0.78125,0.03125,0.25,0.21875,-0.03125,0.0002967208274640143,True,False,70473,-0.03125,0.03125,False,False,False
contact_stability,473,3,1.5,60473,64,0.75,0.796875,0.046875,0.25,0.203125,-0.046875,0.0006675993790850043,True,True,70473,-0.03125,0.03125,False,False,False
contact_stability,473,4,0.5,80473,64,0.71875,0.65625,-0.0625,0.28125,0.34375,0.0625,7.83829964348115e-05,True,False,90473,0.0078125,-0.0078125,True,False,False
contact_stability,473,4,1.0,80473,64,0.71875,0.734375,0.015625,0.28125,0.265625,-0.015625,0.00031355093233287334,True,False,90473,0.0078125,-0.0078125,True,False,False
contact_stability,473,4,1.5,80473,64,0.71875,0.75,0.03125,0.28125,0.25,-0.03125,0.0007055259775370359,True,True,90473,0.0078125,-0.0078125,True,False,True
contact_stability,473,5,0.5,100473,64,0.71875,0.734375,0.015625,0.28125,0.265625,-0.015625,7.47406593291089e-05,True,True,110473,0.078125,-0.078125,True,False,True
contact_stability,473,5,1.0,100473,64,0.71875,0.71875,0.0,0.28125,0.28125,0.0,0.00029896892374381423,True,False,110473,0.078125,-0.078125,True,False,False
contact_stability,473,5,1.5,100473,64,0.71875,0.671875,-0.046875,0.28125,0.328125,0.046875,0.0006726706633344293,True,False,110473,0.078125,-0.078125,True,False,False
contact_stability,473,6,0.5,120473,64,0.625,0.734375,0.109375,0.375,0.265625,-0.109375,8.452589099761099e-05,True,True,130473,-0.0390625,0.0390625,False,False,False
contact_stability,473,6,1.0,120473,64,0.625,0.6875,0.0625,0.375,0.3125,-0.0625,0.000338099809596315,True,False,130473,-0.0390625,0.0390625,False,False,False
contact_stability,473,6,1.5,120473,64,0.625,0.6875,0.0625,0.375,0.3125,-0.0625,0.0007606805302202702,True,False,130473,-0.0390625,0.0390625,False,False,False
contact_stability,473,7,0.5,140473,64,0.71875,0.640625,-0.078125,0.28125,0.359375,0.078125,6.2371495005209e-05,True,False,150473,-0.03125,0.03125,False,False,False
contact_stability,473,7,1.0,140473,64,0.71875,0.6875,-0.03125,0.28125,0.3125,0.03125,0.0002494955260772258,True,False,150473,-0.03125,0.03125,False,False,False
contact_stability,473,7,1.5,140473,64,0.71875,0.78125,0.0625,0.28125,0.21875,-0.0625,0.0005613514222204685,True,True,150473,-0.03125,0.03125,False,False,False
contact_stability,473,8,0.5,160473,64,0.640625,0.640625,0.0,0.359375,0.359375,0.0,7.370162347797304e-05,True,False,170473,0.0078125,-0.0078125,True,False,False
contact_stability,473,8,1.0,160473,64,0.640625,0.703125,0.0625,0.359375,0.296875,-0.0625,0.00029482398531399667,True,True,170473,0.0078125,-0.0078125,True,False,True
contact_stability,473,8,1.5,160473,64,0.640625,0.6875,0.046875,0.359375,0.3125,-0.046875,0.0006633633747696877,True,False,170473,0.0078125,-0.0078125,True,False,False
