specialist,adaptation_seed,round,fraction,screen_seed,screen_episodes,old_success,candidate_success,screen_success_delta,old_fall,candidate_fall,screen_fall_delta,mean_kl,screen_eligible,screen_best,confirmation_seed,confirmation_success_delta,confirmation_fall_delta,target_gate_accepted,d0_rollback,retained
lateral,473,1,0.5,20473,64,0.671875,0.765625,0.09375,0.3125,0.234375,-0.078125,8.275828440673649e-05,True,True,30473,0.0234375,-0.0234375,True,False,True
lateral,473,1,1.0,20473,64,0.671875,0.75,0.078125,0.3125,0.25,-0.0625,0.00033104332396760583,True,False,30473,0.0234375,-0.0234375,True,False,False
lateral,473,1,1.5,20473,64,0.671875,0.75,0.078125,0.3125,0.25,-0.0625,0.000744842691347003,True,False,30473,0.0234375,-0.0234375,True,False,False
lateral,473,2,0.5,40473,64,0.75,0.71875,-0.03125,0.25,0.28125,0.03125,7.63408315833658e-05,True,False,50473,-0.09375,0.09375,False,False,False
lateral,473,2,1.0,40473,64,0.75,0.625,-0.125,0.25,0.375,0.125,0.0003053784603253007,True,False,50473,-0.09375,0.09375,False,False,False
lateral,473,2,1.5,40473,64,0.75,0.75,0.0,0.25,0.25,0.0,0.0006871013320051134,True,True,50473,-0.09375,0.09375,False,False,False
lateral,473,3,0.5,60473,64,0.734375,0.71875,-0.015625,0.265625,0.28125,0.015625,7.048952102195472e-05,True,False,70473,-0.0390625,0.0390625,False,False,False
lateral,473,3,1.0,60473,64,0.734375,0.703125,-0.03125,0.265625,0.296875,0.03125,0.00028197455685585737,True,False,70473,-0.0390625,0.0390625,False,False,False
lateral,473,3,1.5,60473,64,0.734375,0.734375,0.0,0.265625,0.265625,0.0,0.0006344594294205308,True,True,70473,-0.0390625,0.0390625,False,False,False
lateral,473,4,0.5,80473,64,0.71875,0.734375,0.015625,0.28125,0.265625,-0.015625,9.21189202927053e-05,True,False,90473,0.0390625,-0.0390625,True,False,False
lateral,473,4,1.0,80473,64,0.71875,0.71875,0.0,0.28125,0.28125,0.0,0.00036849011667072773,True,False,90473,0.0390625,-0.0390625,True,False,False
lateral,473,4,1.5,80473,64,0.71875,0.796875,0.078125,0.28125,0.203125,-0.078125,0.0008290992118418217,True,True,90473,0.0390625,-0.0390625,True,False,True
lateral,473,5,0.5,100473,64,0.703125,0.78125,0.078125,0.296875,0.21875,-0.078125,7.744220056338236e-05,True,False,110473,-0.0390625,0.0390625,False,False,False
lateral,473,5,1.0,100473,64,0.703125,0.78125,0.078125,0.296875,0.21875,-0.078125,0.00030979205621406436,True,False,110473,-0.0390625,0.0390625,False,False,False
lateral,473,5,1.5,100473,64,0.703125,0.8125,0.109375,0.296875,0.1875,-0.109375,0.0006970292888581753,True,True,110473,-0.0390625,0.0390625,False,False,False
lateral,473,6,0.5,120473,64,0.8125,0.875,0.0625,0.1875,0.125,-0.0625,8.841024100547656e-05,True,True,130473,-0.046875,0.046875,False,False,False
lateral,473,6,1.0,120473,64,0.8125,0.75,-0.0625,0.1875,0.25,0.0625,0.00035365240182727575,True,False,130473,-0.046875,0.046875,False,False,False
lateral,473,6,1.5,120473,64,0.8125,0.796875,-0.015625,0.1875,0.203125,0.015625,0.0007957274210639298,True,False,130473,-0.046875,0.046875,False,False,False
lateral,473,7,0.5,140473,64,0.703125,0.6875,-0.015625,0.296875,0.3125,0.015625,8.345478272531182e-05,True,False,150473,-0.0390625,0.0390625,False,False,False
lateral,473,7,1.0,140473,64,0.703125,0.828125,0.125,0.296875,0.171875,-0.125,0.00033384724520146847,True,True,150473,-0.0390625,0.0390625,False,False,False
lateral,473,7,1.5,140473,64,0.703125,0.75,0.046875,0.296875,0.25,-0.046875,0.0007511662552133203,True,False,150473,-0.0390625,0.0390625,False,False,False
lateral,473,8,0.5,160473,64,0.71875,0.703125,-0.015625,0.28125,0.296875,0.015625,7.358863513218239e-05,True,False,170473,-0.046875,0.046875,False,False,False
lateral,473,8,1.0,160473,64,0.71875,0.75,0.03125,0.28125,0.25,-0.03125,0.0002943826257251203,True,True,170473,-0.046875,0.046875,False,False,False
lateral,473,8,1.5,160473,64,0.71875,0.703125,-0.015625,0.28125,0.296875,0.015625,0.0006623697117902339,True,False,170473,-0.046875,0.046875,False,False,False
