specialist,adaptation_seed,round,batch,rollout_seed,normal_start_count,failure_start_count,success_start_count,failure_bank_size,success_pool_size,matched_success_bank_size,exact_pair_count,exact_match_passed,maximum_marginal_imbalance,bank_transaction_attempted,bank_transaction_committed,bank_transaction_restored,usable_preflight_passed,cbf_intervention_fraction,cbf_correction_mean
lateral,473,1,1,1000483,40,12,12,256,1024,247,12,True,0,True,True,False,True,0.048675537109375,0.011603865772485733
lateral,473,1,2,1000484,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0506439208984375,0.012554009445011616
lateral,473,2,1,1000493,40,12,12,256,1024,241,12,True,0,True,True,False,True,0.0543975830078125,0.012937955558300018
lateral,473,2,2,1000494,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0491790771484375,0.012108966708183289
lateral,473,3,1,1000503,40,12,12,256,1024,246,12,True,0,True,True,False,True,0.0500640869140625,0.011952238157391548
lateral,473,3,2,1000504,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.051300048828125,0.01232314296066761
lateral,473,4,1,1000513,40,12,12,256,1024,243,12,True,0,True,True,False,True,0.0476531982421875,0.012737184762954712
lateral,473,4,2,1000514,40,12,12,256,1024,245,12,True,0,True,True,False,True,0.0510711669921875,0.013993434607982635
lateral,473,5,1,1000523,40,12,12,256,1024,228,12,True,0,True,True,False,True,0.0501708984375,0.012089956551790237
lateral,473,5,2,1000524,40,12,12,256,1024,226,12,True,0,True,True,False,True,0.047943115234375,0.011136369779706001
lateral,473,6,1,1000533,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.0484619140625,0.011949770152568817
lateral,473,6,2,1000534,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.0506134033203125,0.012837020680308342
lateral,473,7,1,1000543,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.0471954345703125,0.011576768942177296
lateral,473,7,2,1000544,40,12,12,256,1024,223,12,True,0,True,True,False,True,0.055999755859375,0.01456028688699007
lateral,473,8,1,1000553,40,12,12,256,1024,219,12,True,0,True,True,False,True,0.0529327392578125,0.01412736065685749
lateral,473,8,2,1000554,40,12,12,256,1024,221,12,True,0,True,True,False,True,0.054779052734375,0.014308545738458633
