context_id,specialist_mode,evaluation_role,comparison,old_role,new_role,paired_episodes,old_success_rate,new_success_rate,success_delta,success_delta_lcb95,success_delta_ucb95,old_fall_rate,new_fall_rate,fall_delta,fall_delta_lcb95,fall_delta_ucb95,base_failure_count,base_success_count,repair_count,regression_count,repair_rate,regression_rate,repair_minus_regression
L1,lateral,target,control_minus_base,base,control,1024,0.748046875,0.76953125,0.021484375,-0.013671875,0.056640625,0.251953125,0.23046875,-0.021484375,-0.056640625,0.013671875,258,766,182,160,0.7054263565891473,0.20887728459530025,0.49654907199384707
L1,lateral,target,v21_minus_base,base,v21,1024,0.748046875,0.744140625,-0.00390625,-0.0380859375,0.03125,0.251953125,0.255859375,0.00390625,-0.03125,0.0380859375,258,766,165,169,0.6395348837209303,0.2206266318537859,0.41890825186714437
L1,lateral,target,v21_minus_control,control,v21,1024,0.76953125,0.744140625,-0.025390625,-0.0615234375,0.0107421875,0.23046875,0.255859375,0.025390625,-0.009765625,0.0625,236,788,162,188,0.6864406779661016,0.23857868020304568,0.44786199776305596
L1,lateral,D0,control_minus_base,base,control,256,0.88671875,0.93359375,0.046875,0.0,0.09375,0.03125,0.0234375,-0.0078125,-0.03515625,0.01953125,29,227,24,12,0.8275862068965517,0.05286343612334802,0.7747227707732037
L1,lateral,D0,v21_minus_base,base,v21,256,0.88671875,0.91796875,0.03125,-0.01171875,0.07421875,0.03125,0.0234375,-0.0078125,-0.03125,0.015625,29,227,20,12,0.6896551724137931,0.05286343612334802,0.6367917362904452
L1,lateral,D0,v21_minus_control,control,v21,256,0.93359375,0.91796875,-0.015625,-0.0625,0.03125,0.0234375,0.0234375,0.0,-0.02734375,0.02734375,17,239,15,19,0.8823529411764706,0.0794979079497908,0.8028550332266797
L2,lateral,target,control_minus_base,base,control,1024,0.779296875,0.8076171875,0.0283203125,-0.00390625,0.0615234375,0.220703125,0.1923828125,-0.0283203125,-0.060546875,0.00390625,226,798,161,132,0.7123893805309734,0.16541353383458646,0.546975846696387
L2,lateral,target,v21_minus_base,base,v21,1024,0.779296875,0.787109375,0.0078125,-0.0263671875,0.0419921875,0.220703125,0.212890625,-0.0078125,-0.04296875,0.0263671875,226,798,168,160,0.7433628318584071,0.20050125313283207,0.5428615787255751
L2,lateral,target,v21_minus_control,control,v21,1024,0.8076171875,0.787109375,-0.0205078125,-0.0546875,0.0126953125,0.1923828125,0.212890625,0.0205078125,-0.0126953125,0.0546875,197,827,145,166,0.7360406091370558,0.2007255139056832,0.5353150952313727
L2,lateral,D0,control_minus_base,base,control,256,0.9375,0.90234375,-0.03515625,-0.08203125,0.0078125,0.0078125,0.0234375,0.015625,-0.00390625,0.0390625,16,240,13,22,0.8125,0.09166666666666666,0.7208333333333333
L2,lateral,D0,v21_minus_base,base,v21,256,0.9375,0.890625,-0.046875,-0.09765625,0.0,0.0078125,0.015625,0.0078125,-0.01171875,0.02734375,16,240,14,26,0.875,0.10833333333333334,0.7666666666666666
L2,lateral,D0,v21_minus_control,control,v21,256,0.90234375,0.890625,-0.01171875,-0.0625,0.0390625,0.0234375,0.015625,-0.0078125,-0.03125,0.015625,25,231,21,24,0.84,0.1038961038961039,0.736103896103896
L3,lateral,target,control_minus_base,base,control,1024,0.80078125,0.798828125,-0.001953125,-0.02734375,0.0234375,0.19921875,0.2001953125,0.0009765625,-0.0244140625,0.0263671875,204,820,89,91,0.4362745098039216,0.11097560975609756,0.325298900047824
L3,lateral,target,v21_minus_base,base,v21,1024,0.80078125,0.814453125,0.013671875,-0.0185546875,0.0458984375,0.19921875,0.185546875,-0.013671875,-0.0458984375,0.0185546875,204,820,150,136,0.7352941176470589,0.16585365853658537,0.5694404591104735
L3,lateral,target,v21_minus_control,control,v21,1024,0.798828125,0.814453125,0.015625,-0.017578125,0.0498046875,0.2001953125,0.185546875,-0.0146484375,-0.048828125,0.0185546875,206,818,162,146,0.7864077669902912,0.1784841075794621,0.6079236594108292
L3,lateral,D0,control_minus_base,base,control,256,0.8984375,0.8984375,0.0,-0.03125,0.03125,0.02734375,0.02734375,0.0,-0.015625,0.015625,26,230,9,9,0.34615384615384615,0.0391304347826087,0.30702341137123745
L3,lateral,D0,v21_minus_base,base,v21,256,0.8984375,0.9140625,0.015625,-0.03515625,0.06640625,0.02734375,0.0234375,-0.00390625,-0.03125,0.0234375,26,230,24,20,0.9230769230769231,0.08695652173913043,0.8361204013377928
L3,lateral,D0,v21_minus_control,control,v21,256,0.8984375,0.9140625,0.015625,-0.03515625,0.06640625,0.02734375,0.0234375,-0.00390625,-0.03125,0.0234375,26,230,24,20,0.9230769230769231,0.08695652173913043,0.8361204013377928
L4,lateral,target,control_minus_base,base,control,1024,0.7939453125,0.802734375,0.0087890625,-0.0244140625,0.041015625,0.2060546875,0.197265625,-0.0087890625,-0.041015625,0.0244140625,211,813,151,142,0.7156398104265402,0.17466174661746617,0.5409780638090741
L4,lateral,target,v21_minus_base,base,v21,1024,0.7939453125,0.7861328125,-0.0078125,-0.0390625,0.0234375,0.2060546875,0.2138671875,0.0078125,-0.0234375,0.0390625,211,813,129,137,0.6113744075829384,0.16851168511685116,0.4428627224660872
L4,lateral,target,v21_minus_control,control,v21,1024,0.802734375,0.7861328125,-0.0166015625,-0.0478515625,0.015625,0.197265625,0.2138671875,0.0166015625,-0.015625,0.048828125,202,822,132,149,0.6534653465346535,0.18126520681265207,0.4722001397220014
L4,lateral,D0,control_minus_base,base,control,256,0.9296875,0.9296875,0.0,-0.046875,0.046875,0.015625,0.0234375,0.0078125,-0.01171875,0.03125,18,238,17,17,0.9444444444444444,0.07142857142857142,0.873015873015873
L4,lateral,D0,v21_minus_base,base,v21,256,0.9296875,0.9140625,-0.015625,-0.0625,0.03125,0.015625,0.015625,0.0,-0.01953125,0.01953125,18,238,17,21,0.9444444444444444,0.08823529411764706,0.8562091503267973
