specialist_mode,policy_role,metric,phase_bin,normalized_episode_phase,trace_count,same_rollout_success_trace_count,mean,q25,q75,post_audit_replay_used
lateral,base,abs_centerline_error,0,0.0,40,29,0.044332472287351266,0.02726062200963497,0.06399694085121155,False
lateral,base,abs_centerline_error,1,0.01,40,29,0.044864316810562736,0.031048276843503118,0.06086936131119728,False
lateral,base,abs_centerline_error,2,0.02,40,29,0.044956365147219915,0.030444449661299583,0.058940623179078104,False
lateral,base,abs_centerline_error,3,0.03,40,29,0.044128690760466265,0.029113660906441508,0.056687502972781655,False
lateral,base,abs_centerline_error,4,0.04,40,29,0.04505379943863953,0.034883546009659774,0.061157290711998935,False
lateral,base,abs_centerline_error,5,0.05,40,29,0.045945700996817315,0.027821769658476103,0.0664789649657905,False
lateral,base,abs_centerline_error,6,0.06,40,29,0.05274157569394448,0.025563023695722217,0.07754460722208023,False
lateral,base,abs_centerline_error,7,0.07,40,29,0.05975707617277658,0.029354470246471465,0.08973221294581891,False
lateral,base,abs_centerline_error,8,0.08,40,29,0.0620277015644242,0.018007142497226597,0.09351155124604701,False
lateral,base,abs_centerline_error,9,0.09,40,29,0.06497691309603397,0.02466090909671038,0.10044375492259859,False
lateral,base,abs_centerline_error,10,0.1,40,29,0.06963493498740717,0.021861962508410222,0.11110235136002303,False
lateral,base,abs_centerline_error,11,0.11,40,29,0.07805813074283652,0.029863037308678026,0.120568489972502,False
lateral,base,abs_centerline_error,12,0.12,40,29,0.08400610341504218,0.04066724311560392,0.12411469966173173,False
lateral,base,abs_centerline_error,13,0.13,40,29,0.08032822541387938,0.04380342209711671,0.11353038601577281,False
lateral,base,abs_centerline_error,14,0.14,40,29,0.07914676871259871,0.040198669675737604,0.11715407542884351,False
lateral,base,abs_centerline_error,15,0.15,40,29,0.08230082965572363,0.03811563840135933,0.12479269914329053,False
lateral,base,abs_centerline_error,16,0.16,40,29,0.08901453512598528,0.043480874001979836,0.13351911410689354,False
lateral,base,abs_centerline_error,17,0.17,40,29,0.09398109631024998,0.04796648155897854,0.1459717096760869,False
