specialist_mode,method_role,round,metric,context_count,mean,lcb95,ucb95,evidence_role
lateral,control,0,success_rate,5,0.790625,0.7546875,0.8203125,post-training unseen frozen monitor only
lateral,control,0,fall_rate,5,0.20859375,0.178125,0.240625,post-training unseen frozen monitor only
lateral,control,0,success_delta_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
lateral,control,0,fall_delta_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
lateral,control,0,repair_rate_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
lateral,control,0,regression_rate_from_pi0,5,0.0,0.0,0.0,post-training unseen frozen monitor only
lateral,control,1,success_rate,5,0.78984375,0.75390625,0.82578125,post-training unseen frozen monitor only
lateral,control,1,fall_rate,5,0.21015625,0.17421875,0.24609375,post-training unseen frozen monitor only
lateral,control,1,success_delta_from_pi0,5,-0.00078125,-0.01328125,0.0078125,post-training unseen frozen monitor only
lateral,control,1,fall_delta_from_pi0,5,0.0015625,-0.00703125,0.01328125,post-training unseen frozen monitor only
lateral,control,1,repair_rate_from_pi0,5,0.4263240867459732,0.2857485875706215,0.6002526581745447,post-training unseen frozen monitor only
lateral,control,1,regression_rate_from_pi0,5,0.1114540894249938,0.08021868353912116,0.1430366044018056,post-training unseen frozen monitor only
lateral,control,2,success_rate,5,0.775,0.74453125,0.81015625,post-training unseen frozen monitor only
lateral,control,2,fall_rate,5,0.225,0.190625,0.25546875,post-training unseen frozen monitor only
lateral,control,2,success_delta_from_pi0,5,-0.015625,-0.05,0.01953125,post-training unseen frozen monitor only
lateral,control,2,fall_delta_from_pi0,5,0.01640625,-0.01875,0.05,post-training unseen frozen monitor only
lateral,control,2,repair_rate_from_pi0,5,0.4121441204337299,0.3194745762711865,0.5048136645962733,post-training unseen frozen monitor only
lateral,control,2,regression_rate_from_pi0,5,0.1296165959063583,0.08943771964076533,0.1627367684541956,post-training unseen frozen monitor only
lateral,control,3,success_rate,5,0.78125,0.75859375,0.80390625,post-training unseen frozen monitor only
lateral,control,3,fall_rate,5,0.21875,0.19609375,0.24140625,post-training unseen frozen monitor only
lateral,control,3,success_delta_from_pi0,5,-0.009375,-0.02578125,0.01015625,post-training unseen frozen monitor only
lateral,control,3,fall_delta_from_pi0,5,0.01015625,-0.009375,0.02578125,post-training unseen frozen monitor only
lateral,control,3,repair_rate_from_pi0,5,0.4361742990490227,0.34103389830508474,0.547776397515528,post-training unseen frozen monitor only
lateral,control,3,regression_rate_from_pi0,5,0.1267950153439016,0.10364106102364443,0.14994896966415874,post-training unseen frozen monitor only
lateral,control,4,success_rate,5,0.77109375,0.7421875,0.80078125,post-training unseen frozen monitor only
lateral,control,4,fall_rate,5,0.22890625,0.19921875,0.2578125,post-training unseen frozen monitor only
lateral,control,4,success_delta_from_pi0,5,-0.01953125,-0.0484375,0.01328125,post-training unseen frozen monitor only
lateral,control,4,fall_delta_from_pi0,5,0.0203125,-0.01328125,0.0484375,post-training unseen frozen monitor only
lateral,control,4,repair_rate_from_pi0,5,0.3817219180966418,0.2648672316384181,0.49857660455486547,post-training unseen frozen monitor only
lateral,control,4,regression_rate_from_pi0,5,0.12688379900526622,0.09741132313834426,0.14944249706921225,post-training unseen frozen monitor only
lateral,control,5,success_rate,5,0.77890625,0.75390625,0.8,post-training unseen frozen monitor only
lateral,control,5,fall_rate,5,0.22109375,0.19921875,0.24609375,post-training unseen frozen monitor only
lateral,control,5,success_delta_from_pi0,5,-0.01171875,-0.034375,0.028125,post-training unseen frozen monitor only
lateral,control,5,fall_delta_from_pi0,5,0.0125,-0.028125,0.03515625,post-training unseen frozen monitor only
lateral,control,5,repair_rate_from_pi0,5,0.4277720461802996,0.30192090395480226,0.5701449275362318,post-training unseen frozen monitor only
lateral,control,5,regression_rate_from_pi0,5,0.12700942701971168,0.11437460312388925,0.1441829349381611,post-training unseen frozen monitor only
lateral,control,6,success_rate,5,0.78515625,0.76640625,0.80546875,post-training unseen frozen monitor only
lateral,control,6,fall_rate,5,0.21484375,0.19453125,0.23359375,post-training unseen frozen monitor only
lateral,control,6,success_delta_from_pi0,5,-0.00546875,-0.0265625,0.017988281249999714,post-training unseen frozen monitor only
lateral,control,6,fall_delta_from_pi0,5,0.00625,-0.01796875,0.0265625,post-training unseen frozen monitor only
lateral,control,6,repair_rate_from_pi0,5,0.4105136856511211,0.3236412429378531,0.4973861283643893,post-training unseen frozen monitor only
lateral,control,6,regression_rate_from_pi0,5,0.11573481279875497,0.09640632641224037,0.13506329918526955,post-training unseen frozen monitor only
