specialist_mode,context_id,method_role,beta,round,actor_sha256,success_rate,fall_rate,success_delta_from_pi0,fall_delta_from_pi0,repair_rate_from_pi0,regression_rate_from_pi0
lateral,L1,control,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.73046875,0.26953125,0.0,0.0,0.0,0.0
lateral,L1,control,0.0,1,8f89f47f84248f536abfe0550275b2395513666505d81c629a4764087692b76f,0.73828125,0.26171875,0.0078125,-0.0078125,0.4782608695652174,0.1657754010695187
lateral,L1,control,0.0,2,8f89f47f84248f536abfe0550275b2395513666505d81c629a4764087692b76f,0.76953125,0.23046875,0.0390625,-0.0390625,0.5507246376811594,0.1497326203208556
lateral,L1,control,0.0,3,8f89f47f84248f536abfe0550275b2395513666505d81c629a4764087692b76f,0.7578125,0.2421875,0.02734375,-0.02734375,0.5217391304347826,0.15508021390374332
lateral,L1,control,0.0,4,8f89f47f84248f536abfe0550275b2395513666505d81c629a4764087692b76f,0.765625,0.234375,0.03515625,-0.03515625,0.5217391304347826,0.1443850267379679
lateral,L1,control,0.0,5,5c7892da6487f4d4619148b80fd8ab6bda26e644b01edb895f151aaeaf506888,0.796875,0.203125,0.06640625,-0.06640625,0.5507246376811594,0.11229946524064172
lateral,L1,control,0.0,6,5c7892da6487f4d4619148b80fd8ab6bda26e644b01edb895f151aaeaf506888,0.76953125,0.23046875,0.0390625,-0.0390625,0.5217391304347826,0.13903743315508021
lateral,L1,control,0.0,7,5c7892da6487f4d4619148b80fd8ab6bda26e644b01edb895f151aaeaf506888,0.80078125,0.19921875,0.0703125,-0.0703125,0.5797101449275363,0.11764705882352941
lateral,L1,control,0.0,8,5c7892da6487f4d4619148b80fd8ab6bda26e644b01edb895f151aaeaf506888,0.7265625,0.2734375,-0.00390625,0.00390625,0.43478260869565216,0.1657754010695187
lateral,L1,v21,0.0,0,f8e27e9b3bb92dd33a460f38ecbd72f8b0fe03809683f697d54d3549626d69bb,0.7421875,0.2578125,0.0,0.0,0.0,0.0
lateral,L1,v21,0.0,1,5b55e4eacf526559294aa9b608ff068b7c1de8c3a1f9da1c5cdb481dc146eae1,0.7734375,0.2265625,0.03125,-0.03125,0.5303030303030303,0.14210526315789473
lateral,L1,v21,0.0,2,5b55e4eacf526559294aa9b608ff068b7c1de8c3a1f9da1c5cdb481dc146eae1,0.765625,0.234375,0.0234375,-0.0234375,0.5454545454545454,0.15789473684210525
lateral,L1,v21,0.0,3,1cff11319db3a598e0be2a8905ab5cab9841092a59e0b8fe14b75eee352730c7,0.71484375,0.28515625,-0.02734375,0.02734375,0.45454545454545453,0.19473684210526315
lateral,L1,v21,0.0,4,15c5b77c024bd723fa911dcedda14344d6afb94f80de825c786379bd67358c1d,0.7421875,0.2578125,0.0,0.0,0.5151515151515151,0.17894736842105263
lateral,L1,v21,0.0,5,15c5b77c024bd723fa911dcedda14344d6afb94f80de825c786379bd67358c1d,0.71484375,0.28515625,-0.02734375,0.02734375,0.45454545454545453,0.19473684210526315
lateral,L1,v21,0.0,6,15c5b77c024bd723fa911dcedda14344d6afb94f80de825c786379bd67358c1d,0.74609375,0.25390625,0.00390625,-0.00390625,0.48484848484848486,0.1631578947368421
lateral,L1,v21,0.0,7,15c5b77c024bd723fa911dcedda14344d6afb94f80de825c786379bd67358c1d,0.734375,0.265625,-0.0078125,0.0078125,0.48484848484848486,0.17894736842105263
